gene|Hydrophob-Hydrophob|StrHydrophob-StrHydrophob|Aromatic-Aromatic|Hydrophil-Hydrophil|Hydrophob-Aromatic|Hydrophob-Charged|Hydrophob-NegCharged|Hydrophob-PosCharged|PosCharged-PosCharged|NegCharged-NegCharged|FF-FY-SY-TY-HC|FF-FY-SY-HC|FF|FY|TY|SY|HC|MR|Total
P00956|119|54|9|32|67|83|18|65|4|1|5|5|0|4|0|1|1|2|273
P00957|2|0|0|1|2|2|0|2|0|0|0|0|0|0|0|0|0|0|14
P00959|61|23|12|15|50|35|15|20|1|0|1|1|0|0|1|0|0|0|137
P00960|7|3|0|0|3|2|2|0|0|0|0|0|0|0|0|0|0|0|9
P00961|21|15|0|4|10|10|3|7|0|0|0|0|0|0|0|0|0|0|39
P00962|26|15|3|23|17|36|3|33|6|1|0|0|0|0|0|0|0|3|99
P00963|11|5|0|6|5|11|3|8|1|1|0|0|0|0|0|0|0|0|29
P00968|159|62|6|49|61|97|42|55|7|5|11|11|2|3|3|3|3|1|353
P02358|3|2|1|1|1|2|0|2|1|0|0|0|0|0|0|0|0|1|11
P02359|6|1|1|2|4|4|0|4|0|0|1|1|0|1|0|0|0|0|14
P02916|17|13|0|2|4|5|2|3|0|1|0|0|0|0|0|0|0|0|32
P02918|50|24|4|23|26|38|8|30|4|0|2|2|0|1|1|0|0|1|131
P02919|38|9|7|5|19|13|3|10|0|0|3|3|1|2|0|0|0|1|70
P02920|128|49|12|6|61|20|7|13|0|0|13|13|6|3|0|4|4|1|183
P02924|24|3|3|3|15|17|12|5|0|1|2|2|0|2|0|0|0|1|49
P02925|18|9|1|5|6|17|13|4|0|1|1|1|1|0|0|0|0|0|44
P02930|55|17|0|14|10|14|9|5|2|0|2|2|0|0|1|1|1|0|110
P02931|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P02943|11|2|2|0|9|2|1|1|0|0|2|2|0|2|0|0|0|0|14
P03004|4|1|0|0|2|1|0|1|0|0|0|0|0|0|0|0|0|0|6
P03007|14|9|1|1|2|5|3|2|1|0|0|0|0|0|0|0|0|0|21
P03018|16|10|2|18|9|20|6|14|1|0|0|0|0|0|0|0|0|1|62
P03023|18|11|1|4|8|7|1|6|0|0|0|0|0|0|0|0|0|0|32
P03024|16|11|3|2|6|7|3|4|0|0|1|1|0|1|0|0|0|0|30
P03030|48|33|3|5|25|14|2|12|3|0|2|2|2|0|0|0|0|0|74
P03813|3|1|0|0|2|0|0|0|0|0|1|1|0|0|1|0|0|0|3
P03819|81|55|1|2|26|16|8|8|0|0|1|1|1|0|0|0|0|0|125
P03835|13|6|0|12|6|11|2|9|4|0|0|0|0|0|0|0|0|2|52
P03841|17|5|1|1|9|4|4|0|0|0|2|2|1|0|1|0|0|0|28
P03959|17|8|0|5|6|4|2|2|0|0|0|0|0|0|0|0|0|0|30
P03960|9|3|1|1|4|5|3|2|0|0|0|0|0|0|0|0|0|0|22
P04036|13|12|0|2|4|5|1|4|0|0|0|0|0|0|0|0|0|0|30
P04079|48|27|2|6|12|24|14|10|0|0|0|0|0|0|0|0|0|1|91
P04128|0|0|0|1|0|2|0|2|0|0|0|0|0|0|0|0|0|0|4
P04152|6|1|0|3|4|2|1|1|0|0|0|0|0|0|0|0|0|0|13
P04335|26|6|7|6|24|12|5|7|0|0|5|5|1|2|2|0|0|0|53
P04391|8|3|1|5|4|7|0|7|1|0|0|0|0|0|0|0|0|0|31
P04395|3|1|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|5
P04425|7|6|0|1|0|8|2|6|1|0|0|0|0|0|0|0|0|0|20
P04693|40|21|8|4|26|18|4|14|1|0|3|3|1|2|0|0|0|0|76
P04805|5|1|1|6|5|8|2|6|0|0|2|2|0|1|1|0|0|0|19
P04816|40|12|4|6|20|16|13|3|0|0|0|0|0|0|0|0|0|0|76
P04825|16|5|3|12|12|12|6|6|1|2|3|3|1|0|2|0|0|0|52
P04846|45|17|0|5|21|13|9|4|1|0|2|2|0|0|0|2|2|0|74
P04949|1|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|2
P04951|18|10|2|1|11|9|4|5|0|0|0|0|0|0|0|0|0|1|30
P04968|52|28|6|13|30|23|6|17|3|0|7|7|2|3|1|1|1|0|96
P04982|70|39|2|6|11|22|12|10|1|0|0|0|0|0|0|0|0|1|127
P04983|5|2|1|2|3|7|1|6|2|0|0|0|0|0|0|0|0|1|22
P04993|46|25|1|9|16|24|8|16|3|1|0|0|0|0|0|0|0|0|90
P04994|15|7|1|9|2|14|7|7|2|0|0|0|0|0|0|0|0|0|41
P04995|53|25|1|4|19|21|4|17|0|1|1|1|0|1|0|0|0|1|84
P05020|41|15|2|4|24|11|3|8|1|0|4|4|1|1|1|0|0|0|57
P05041|104|45|9|21|48|29|13|16|1|1|7|7|2|3|1|0|0|0|188
P05042|8|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11
P05050|41|30|2|7|16|10|1|9|2|0|0|0|0|0|0|0|0|0|60
P05052|42|29|4|4|20|5|3|2|0|0|4|4|3|1|0|0|0|0|55
P05055|12|8|1|2|6|2|1|1|1|0|1|1|0|1|0|0|0|0|21
P05100|2|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|2
P05194|5|3|0|4|2|3|1|2|1|0|0|0|0|0|0|0|0|0|13
P05458|22|5|1|15|12|23|12|11|1|0|2|2|0|1|1|0|0|0|78
P05459|28|10|3|3|16|21|11|10|1|1|1|1|0|0|0|1|1|1|58
P05523|12|11|0|5|5|8|2|6|1|0|0|0|0|0|0|0|0|0|29
P05637|4|1|1|3|3|0|0|0|1|0|0|0|0|0|0|0|0|0|8
P05706|3|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|6
P05707|0|0|0|2|0|0|0|0|2|0|0|0|0|0|0|0|0|0|2
P05719|72|34|2|12|21|34|5|29|1|0|1|1|1|0|0|0|0|1|133
P05791|52|21|0|11|18|19|2|17|1|2|2|2|0|0|0|0|0|0|102
P05793|149|77|9|38|59|80|43|37|1|2|5|5|1|1|2|1|1|0|357
P05804|43|6|13|15|35|33|7|26|3|1|3|3|0|3|0|0|0|1|109
P05824|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|1|5
P05825|13|1|0|8|4|6|2|4|0|0|0|0|0|0|0|0|0|0|41
P05827|25|16|1|3|15|17|7|10|0|0|1|1|1|0|0|0|0|1|51
P05847|44|21|0|2|11|14|2|12|1|0|0|0|0|0|0|0|0|0|73
P05852|24|11|0|2|14|11|9|2|1|1|0|0|0|0|0|0|0|0|38
P06129|2|0|0|0|2|3|0|3|0|0|0|0|0|0|0|0|0|0|5
P06134|21|17|1|3|9|9|4|5|0|0|1|1|1|0|0|0|0|1|36
P06136|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P06149|133|55|24|60|84|101|30|71|13|0|6|6|1|2|3|0|0|4|345
P06282|16|11|1|2|5|3|0|3|1|0|3|3|1|0|1|1|1|0|26
P06609|51|27|3|5|19|13|3|10|0|1|0|0|0|0|0|0|0|0|85
P06610|17|7|1|6|10|7|3|4|1|0|1|1|0|1|0|0|0|0|41
P06611|4|2|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|5
P06612|22|10|2|5|10|18|6|12|0|0|2|2|0|1|1|0|0|1|67
P06616|18|13|0|2|4|8|1|7|0|0|0|0|0|0|0|0|0|0|30
P06709|19|3|2|7|13|10|2|8|2|0|0|0|0|0|0|0|0|0|39
P06710|4|3|0|0|2|3|0|3|0|0|0|0|0|0|0|0|0|0|7
P06715|35|12|1|6|13|17|8|9|0|1|2|2|0|1|0|1|1|1|66
P06720|24|14|3|2|10|12|8|4|0|0|1|1|0|1|0|0|0|0|44
P06721|48|10|8|6|29|24|5|19|1|0|1|1|0|0|0|1|1|0|94
P06722|14|7|0|0|0|5|3|2|0|0|0|0|0|0|0|0|0|0|20
P06846|26|10|1|3|8|12|8|4|0|0|2|2|1|0|0|1|1|0|48
P06864|79|26|18|63|59|93|30|63|9|6|7|7|2|3|1|1|1|4|284
P06959|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2
P06960|8|2|1|4|5|9|0|9|1|0|0|0|0|0|0|0|0|0|34
P06968|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P06971|5|0|1|3|5|4|2|2|1|0|0|0|0|0|0|0|0|0|12
P06972|73|43|3|9|16|28|5|23|3|0|1|1|0|0|1|0|0|4|143
P06974|19|9|1|0|2|3|3|0|0|0|1|1|1|0|0|0|0|1|31
P06983|43|20|0|5|4|20|5|15|0|0|0|0|0|0|0|0|0|0|78
P06986|51|26|4|8|24|26|10|16|0|0|2|2|0|1|1|0|0|0|103
P06987|16|11|2|3|10|8|8|0|1|1|1|1|1|0|0|0|0|0|31
P06988|24|14|0|7|12|10|7|3|0|1|1|1|0|0|0|1|1|0|54
P06989|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P06992|15|11|2|0|7|2|1|1|0|0|2|2|1|1|0|0|0|0|29
P06993|8|5|0|5|1|3|0|3|2|0|0|0|0|0|0|0|0|0|19
P06996|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|1
P06999|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P07000|32|13|11|19|29|29|14|15|5|0|7|7|1|5|1|0|0|0|83
P07001|2|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|3
P07003|79|47|3|19|31|34|13|21|5|0|3|3|1|1|0|1|1|1|151
P07004|21|11|0|7|3|13|8|5|1|1|2|2|0|0|1|0|0|0|46
P07012|3|1|0|1|3|0|0|0|0|0|1|1|0|0|1|0|0|0|4
P07013|0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|1
P07021|3|3|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|4
P07023|16|9|2|0|8|0|0|0|0|0|1|1|1|0|0|0|0|0|26
P07024|67|30|5|17|33|33|17|16|0|0|2|2|0|1|0|1|1|0|160
P07026|3|2|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|4
P07102|47|16|3|9|22|13|6|7|2|0|3|3|1|0|1|1|1|1|93
P07109|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P07117|308|162|17|18|127|48|24|24|3|1|20|20|9|3|0|7|7|4|440
P07118|115|46|13|21|81|68|14|54|5|0|5|5|0|4|1|0|0|3|253
P07330|16|7|0|0|4|3|0|3|0|0|0|0|0|0|0|0|0|0|23
P07363|17|12|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|18
P07364|1|1|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|3
P07395|55|27|2|12|19|23|5|18|3|0|1|1|0|1|0|0|0|0|98
P07464|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P07604|5|3|0|0|2|1|0|1|0|0|0|0|0|0|0|0|0|0|6
P07623|28|19|1|8|10|8|4|4|0|0|1|1|1|0|0|0|0|0|52
P07639|22|13|0|3|11|5|3|2|1|0|2|2|0|0|1|1|1|0|32
P07648|39|14|4|23|24|32|10|22|2|1|4|4|0|1|2|1|1|0|102
P07649|31|13|4|9|16|17|1|16|3|0|2|2|0|0|2|0|0|0|61
P07650|75|28|1|16|19|22|5|17|2|2|2|2|0|0|0|2|2|0|148
P07654|2|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|12
P07762|19|5|7|7|18|29|4|25|1|0|2|2|0|2|0|0|0|3|70
P07813|75|29|2|19|48|51|17|34|2|0|1|1|0|0|1|0|0|6|221
P07821|4|1|0|0|1|3|0|3|0|0|0|0|0|0|0|0|0|0|7
P07822|34|22|7|2|18|6|2|4|0|0|3|3|3|0|0|0|0|0|45
P07862|11|6|0|6|2|7|3|4|3|0|1|1|0|0|0|1|1|1|30
P07913|7|4|3|2|6|2|1|1|1|0|1|1|1|0|0|0|0|0|16
P08142|73|39|2|17|25|42|7|35|1|0|3|3|1|1|1|0|0|2|188
P08178|90|46|1|16|31|32|11|21|1|3|1|1|0|0|1|0|0|0|148
P08179|2|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|4
P08189|1|0|1|0|1|2|2|0|0|0|0|0|0|0|0|0|0|0|4
P08191|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7
P08192|65|27|2|1|18|16|8|8|0|0|0|0|0|0|0|0|0|0|86
P08194|117|37|12|12|63|39|16|23|2|0|8|8|1|5|0|2|2|1|203
P08200|35|24|1|4|7|12|7|5|0|1|1|1|0|0|1|0|0|0|65
P08201|21|13|0|15|4|15|3|12|2|0|0|0|0|0|0|0|0|1|67
P08202|55|28|11|13|38|36|10|26|3|1|4|4|1|2|1|0|0|0|117
P08203|6|0|3|3|5|3|2|1|0|0|1|1|0|1|0|0|0|0|13
P08204|34|8|2|9|13|17|4|13|0|0|0|0|0|0|0|0|0|0|67
P08244|7|4|0|2|3|3|1|2|0|0|0|0|0|0|0|0|0|0|12
P08312|8|7|0|5|0|1|0|1|0|0|0|0|0|0|0|0|0|0|22
P08331|106|42|10|33|46|67|31|36|3|1|9|9|0|3|4|2|2|0|223
P08337|6|5|1|2|5|3|2|1|0|0|1|1|1|0|0|0|0|0|13
P08369|12|3|0|0|5|2|1|1|0|0|0|0|0|0|0|0|0|0|14
P08373|31|14|3|6|19|16|9|7|2|0|1|1|0|0|0|1|1|0|57
P08390|7|5|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|11
P08394|49|27|4|18|23|27|9|18|2|0|3|3|0|3|0|0|0|1|113
P08395|72|20|6|23|41|49|17|32|0|3|9|9|3|2|2|2|2|0|168
P08400|2|2|1|2|2|3|1|2|0|0|1|1|1|0|0|0|0|0|8
P08401|15|13|0|3|3|4|3|1|0|0|0|0|0|0|0|0|0|2|26
P08506|9|6|0|6|6|18|8|10|0|0|0|0|0|0|0|0|0|0|38
P08555|7|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10
P08622|1|0|0|3|3|4|0|4|2|0|0|0|0|0|0|0|0|0|8
P08660|18|13|0|5|6|10|4|6|0|0|0|0|0|0|0|0|0|0|42
P08722|11|6|2|0|5|2|1|1|0|0|1|1|1|0|0|0|0|0|14
P08839|7|2|0|2|0|1|0|1|0|0|0|0|0|0|0|0|0|0|14
P08956|9|4|0|4|4|12|6|6|1|0|1|1|0|0|1|0|0|0|26
P08957|23|15|2|4|11|7|2|5|2|0|2|2|2|0|0|0|0|0|38
P08997|47|34|10|16|33|31|12|19|3|0|6|6|5|1|0|0|0|0|106
P09029|19|3|2|11|12|12|3|9|3|1|2|2|0|0|1|1|1|0|49
P09030|8|1|2|0|5|2|0|2|0|0|1|1|0|1|0|0|0|0|12
P09053|83|22|12|13|42|23|9|14|2|1|4|4|1|2|0|1|1|0|138
P09099|43|17|7|4|20|15|2|13|2|0|1|1|1|0|0|0|0|1|83
P09126|5|4|1|0|2|1|0|1|0|0|1|1|0|1|0|0|0|0|6
P09147|18|7|1|1|9|9|5|4|0|0|0|0|0|0|0|0|0|0|33
P09148|16|1|3|3|12|7|3|4|0|0|1|1|0|1|0|0|0|0|36
P09151|15|10|3|6|3|6|2|4|1|0|1|1|0|1|0|0|0|0|37
P09152|369|84|37|122|228|236|87|149|18|4|18|18|3|9|3|2|2|6|902
P09153|5|0|1|3|4|10|4|6|1|0|0|0|0|0|0|0|0|0|18
P09155|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3
P09158|19|4|1|0|10|3|3|0|0|0|0|0|0|0|0|0|0|0|29
P09163|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|1
P09169|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1
P09323|20|7|1|0|6|3|1|2|0|0|0|0|0|0|0|0|0|0|24
P09373|42|16|7|21|24|38|16|22|6|2|5|5|1|3|1|0|0|0|121
P09377|20|4|6|2|21|18|3|15|1|0|4|4|0|2|1|0|0|0|42
P09378|19|3|4|8|17|20|2|18|1|0|1|1|0|0|1|0|0|2|52
P09391|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|2
P09394|6|1|1|7|4|8|1|7|3|0|0|0|0|0|0|0|0|0|23
P09424|8|2|0|3|1|4|4|0|0|0|0|0|0|0|0|0|0|0|19
P09546|99|57|1|40|22|47|18|29|4|1|3|3|0|1|0|2|2|0|230
P09549|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P09551|43|17|6|6|25|23|17|6|0|0|7|7|2|4|0|1|1|0|96
P09831|170|60|18|64|97|120|29|91|7|4|12|12|0|4|6|2|2|1|387
P09832|26|16|0|2|3|12|7|5|0|0|0|0|0|0|0|0|0|1|46
P09833|25|14|0|2|6|7|1|6|0|0|0|0|0|0|0|0|0|0|41
P09836|85|37|8|10|28|21|8|13|2|2|3|3|1|1|0|1|1|1|146
P09980|17|10|2|16|8|18|3|15|2|0|0|0|0|0|0|0|0|0|59
P0A698|20|13|5|7|20|35|10|25|2|0|1|1|0|1|0|0|0|1|70
P0A6A0|2|0|0|1|2|1|0|1|0|0|0|0|0|0|0|0|0|0|4
P0A6A3|5|2|2|0|6|1|0|1|0|0|1|1|0|1|0|0|0|0|9
P0A6A6|83|40|0|22|12|53|22|31|2|1|3|3|0|0|0|0|0|1|196
P0A6B4|11|6|2|2|7|5|0|5|1|0|1|1|0|0|1|0|0|1|22
P0A6B7|62|18|4|6|28|37|16|21|0|0|5|5|0|2|2|1|1|0|134
P0A6C1|0|0|0|2|0|1|0|1|0|0|0|0|0|0|0|0|0|0|5
P0A6C5|14|12|1|6|6|6|5|1|0|0|0|0|0|0|0|0|0|0|27
P0A6C8|5|3|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|5
P0A6D3|5|0|0|1|2|0|0|0|0|0|1|1|0|0|1|0|0|0|9
P0A6D5|22|9|2|1|12|6|0|6|0|0|0|0|0|0|0|0|0|0|42
P0A6D7|12|9|0|4|0|2|0|2|0|0|0|0|0|0|0|0|0|0|23
P0A6E1|4|4|0|1|1|2|0|2|0|0|0|0|0|0|0|0|0|0|7
P0A6E4|30|8|7|12|23|15|8|7|2|0|5|5|0|2|1|2|2|0|78
P0A6E9|1|1|0|2|0|5|2|3|0|1|0|0|0|0|0|0|0|0|9
P0A6F1|34|15|1|17|14|32|9|23|1|0|0|0|0|0|0|0|0|0|97
P0A6F3|63|20|6|2|29|15|7|8|0|0|0|0|0|0|0|0|0|0|91
P0A6F5|22|18|0|3|5|8|6|2|0|1|0|0|0|0|0|0|0|0|35
P0A6G3|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P0A6G5|2|0|0|3|1|2|1|1|0|0|0|0|0|0|0|0|0|0|9
P0A6H1|2|2|0|1|0|3|0|3|0|0|0|0|0|0|0|0|0|0|8
P0A6H5|3|2|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|5
P0A6H8|34|13|3|11|15|27|7|20|3|0|0|0|0|0|0|0|0|1|85
P0A6I0|26|20|1|2|6|12|3|9|0|0|1|1|1|0|0|0|0|0|45
P0A6I3|14|5|2|0|5|13|2|11|0|0|0|0|0|0|0|0|0|0|29
P0A6I9|5|4|0|4|0|3|0|3|0|0|0|0|0|0|0|0|0|0|12
P0A6J1|29|23|0|2|3|4|1|3|0|0|0|0|0|0|0|0|0|0|35
P0A6J5|61|27|3|14|19|40|20|20|1|1|1|1|0|1|0|0|0|0|131
P0A6J8|9|1|0|3|2|6|4|2|1|0|0|0|0|0|0|0|0|0|26
P0A6K3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P0A6K6|68|23|6|33|33|46|18|28|7|4|3|3|0|1|1|0|0|1|159
P0A6L0|12|7|0|2|2|6|1|5|0|0|0|0|0|0|0|0|0|0|23
P0A6L2|12|2|0|1|6|5|0|5|0|0|0|0|0|0|0|0|0|0|19
P0A6L4|10|5|0|9|4|5|1|4|0|0|0|0|0|0|0|0|0|0|35
P0A6L7|58|36|5|20|33|41|15|26|2|0|6|6|2|2|2|0|0|0|137
P0A6L9|4|2|1|0|4|2|0|2|0|0|0|0|0|0|0|0|0|0|8
P0A6M8|23|8|0|11|11|27|12|15|1|0|0|0|0|0|0|0|0|0|79
P0A6P1|3|2|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|5
P0A6P5|13|8|1|1|3|10|3|7|0|0|1|1|0|1|0|0|0|0|28
P0A6P7|23|14|2|2|9|8|4|4|0|0|1|1|1|0|0|0|0|0|39
P0A6P9|31|10|0|14|6|29|15|14|1|2|0|0|0|0|0|0|0|0|90
P0A6R0|3|3|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|4
P0A6S3|6|1|1|0|3|0|0|0|0|0|3|3|0|1|2|0|0|0|8
P0A6S7|33|28|0|4|4|10|3|7|1|1|0|0|0|0|0|0|0|0|54
P0A6T1|59|25|6|16|32|26|5|21|1|1|6|6|1|2|1|2|2|1|129
P0A6T3|42|20|5|8|18|30|16|14|0|2|2|2|0|1|0|0|0|0|92
P0A6T9|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P0A6U3|82|32|3|28|33|81|37|44|4|1|2|2|1|0|0|1|1|2|222
P0A6U5|13|5|0|0|2|4|2|2|0|0|0|0|0|0|0|0|0|0|18
P0A6U8|22|12|1|5|4|9|3|6|1|0|1|1|0|1|0|0|0|0|41
P0A6V1|63|27|9|11|39|41|14|27|2|0|5|5|2|2|0|1|1|0|131
P0A6V5|14|5|2|2|14|10|3|7|0|0|1|1|0|0|0|1|1|0|30
P0A6V8|5|4|2|2|4|5|0|5|0|0|2|2|2|0|0|0|0|0|14
P0A6W0|26|14|2|6|11|12|5|7|0|0|1|1|0|1|0|0|0|0|63
P0A6W3|42|21|1|4|14|8|5|3|1|0|0|0|0|0|0|0|0|0|61
P0A6W5|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1
P0A6W9|77|26|2|12|37|35|12|23|1|1|2|2|0|0|2|0|0|1|158
P0A6X1|6|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6
P0A6Y5|1|0|0|1|1|4|0|4|1|0|0|0|0|0|0|0|0|0|8
P0A6Y8|13|8|0|2|4|15|9|6|0|1|0|0|0|0|0|0|0|2|41
P0A6Z1|19|15|0|6|4|12|6|6|2|0|0|0|0|0|0|0|0|1|43
P0A6Z3|19|10|0|7|11|16|5|11|0|1|2|2|0|0|0|2|2|0|43
P0A700|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P0A705|36|23|0|9|12|14|9|5|1|0|0|0|0|0|0|0|0|0|73
P0A707|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
P0A712|86|41|0|0|18|13|2|11|0|0|3|3|0|0|1|2|2|0|131
P0A715|13|6|0|3|8|13|3|10|0|0|0|0|0|0|0|0|0|0|29
P0A717|1|1|0|2|0|1|0|1|0|0|0|0|0|0|0|0|0|0|4
P0A720|5|1|0|0|2|3|1|2|0|0|1|1|0|0|1|0|0|0|8
P0A725|19|14|6|3|17|8|1|7|1|0|5|5|4|0|0|0|0|0|32
P0A731|10|5|2|5|9|4|1|3|0|0|0|0|0|0|0|0|0|0|22
P0A738|1|1|0|0|4|6|1|5|0|0|0|0|0|0|0|0|0|0|10
P0A744|54|5|9|11|42|36|9|27|1|1|5|5|0|1|2|2|2|0|120
P0A746|7|3|1|1|4|5|0|5|1|0|0|0|0|0|0|0|0|0|17
P0A749|3|2|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|10
P0A752|16|6|0|3|17|15|3|12|1|0|0|0|0|0|0|0|0|0|40
P0A756|19|13|0|2|2|1|0|1|0|0|0|0|0|0|0|0|0|0|27
P0A759|10|5|2|2|3|5|3|2|1|0|2|2|0|1|1|0|0|0|23
