gene|ChapClass|source
P24175|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AE85|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P36649|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P00816|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ABJ1|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ABJ1|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P16700|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P09549|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P09549|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0C0V0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACK5|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31460|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P06966|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P06965|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P23840|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P23840|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q46857|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AEF0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P37313|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77202|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P15047|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P19925|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P19636|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77277|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76556|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P07658|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q47208|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AEL6|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P23878|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P60566|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31574|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AEM0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AEM0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75938|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AEM4|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A8S9|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P04949|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31068|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P52613|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P52614|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77609|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P08192|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P24186|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AC00|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACP1|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P05042|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P69908|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A9C3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A9S3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AC55|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P10346|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P13035|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P37902|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AAG3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P09372|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P68688|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ABW0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P15038|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P06983|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P10371|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P36645|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ABS8|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P37024|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACG8|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACF0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACF4|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P19932|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P71229|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A6X7|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P00956|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P39347|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P62623|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P07464|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P33229|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P09151|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A6A6|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P30126|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P60716|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P10441|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77791|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P21517|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q47154|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P17109|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P38051|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P30750|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P28635|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77580|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AEZ7|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q47690|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACV6|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P22188|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P30011|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A759|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A9I5|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P27896|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31600|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P17117|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P33593|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P33594|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P04846|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AC65|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AB83|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AFD1|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76078|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P05459|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P40191|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AF12|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P08312|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P00634|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31134|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P23869|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31828|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7I0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P07013|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77495|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P08839|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P15254|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P09546|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AD61|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7F9|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76062|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P02925|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P69411|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P04993|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0C079|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AFW0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P27836|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P16918|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P24211|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7Y8|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P60422|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P60438|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7R1|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7J3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7J7|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P68919|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7N9|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A8T7|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AGB3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A800|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P02358|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7T3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P38035|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A812|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P46853|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AG78|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P07026|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P26616|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P37680|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P39366|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A828|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7F6|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AAI1|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ABZ6|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31550|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AGL2|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AGG2|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77326|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
O32583|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AGG8|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P62601|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P36673|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P00895|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A6A0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P17993|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P25534|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AG80|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P69822|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P07024|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P37903|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P39177|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P39177|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A698|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A8G3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P09184|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P71244|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P37388|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A8H8|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P27305|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31665|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75676|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75682|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77169|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77657|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77607|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P71296|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75684|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77183|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77489|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77324|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77188|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77297|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77187|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77554|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AAQ2|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P46890|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AAR3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77301|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77756|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AFP2|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A9T8|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77395|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P37306|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AAS7|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P45579|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77316|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75741|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75746|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75749|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75750|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P12994|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P30176|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACU0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75782|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AAX8|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75811|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75874|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31545|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AFQ5|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75898|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AB24|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75906|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P24188|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AB33|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76002|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AB43|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76010|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75991|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75991|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P30192|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P08245|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76035|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76066|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76069|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76100|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77286|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76165|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P28224|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77552|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P64479|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACY1|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77721|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77280|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76213|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76241|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76270|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AA31|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76342|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A8A2|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P64524|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76402|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76402|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P33916|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P65556|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A7B3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P52119|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q46896|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q46906|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q46796|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P64572|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q46845|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q46861|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P42626|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P26646|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P36677|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P45552|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P68567|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ADJ3|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ADK6|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P32109|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A8Y5|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31443|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P31475|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A6P7|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0A6P7|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AFU6|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P32157|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P32704|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0DM85|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AF82|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77601|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77212|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P56257|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AAS0|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P77759|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P75796|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AEI4|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76068|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76149|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76909|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
Q46868|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P45465|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P45469|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ADV7|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P45748|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0ACN2|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AC53|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P0AAS9|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P33347|D|./Arifuzzaman_2006_DnaK_clients_Standardized.csv
P76472|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P31119|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0A8P1|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P76052|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P77744|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0ABD5|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0AFG8|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P11071|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P36683|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P24224|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P28629|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P33234|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P50466|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P23872|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P37009|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P42912|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P05050|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P77555|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0ACR0|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P32721|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0AE12|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0AD70|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0A9E0|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0A6C5|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P27254|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P07639|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P00887|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P23325|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0AAF6|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P24240|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P25550|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0AE37|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P76216|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P77581|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P76217|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P76215|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P76458|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P17444|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P11988|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P39404|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P12995|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P12999|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P13000|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P12998|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P13001|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P20099|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P06611|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P06610|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0A9H3|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P31551|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P39206|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P61517|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P00968|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P36659|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P31456|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P37047|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P37794|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P17410|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P07364|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P77510|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P77390|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0A6G5|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
P0A6G7|G|./Arifuzzaman_2006_GroEL_clients_Standardized.csv
