gene,uniprot_length,cut_CG_Rall_1,cut_CG_Rall_0,total_cut_CG_Rall,total_region_1,total_region_0,total_res
P0AC84,251,1,1,2,84,167,251
P0ACB2,324,2,0,2,156,167,323
P0ACP1,334,0,0,0,137,139,276
P0ACY1,183,0,0,0,56,121,177
P0AD61,470,6,14,20,159,308,467
P0AD96,367,0,0,0,131,213,344
P0ADE8,326,0,0,0,191,133,324
P0ADI7,188,0,0,0,95,93,188
P0ADY3,123,1,0,1,68,55,123
P0AE08,187,7,1,8,106,71,177
P0AE18,264,0,2,2,89,174,263
P0AEG4,208,0,0,0,61,127,188
P0AEK2,244,2,3,5,72,171,243
P0AEK4,262,6,4,10,124,134,258
P0AEP3,302,0,1,1,101,187,288
P0AET8,255,1,0,1,120,135,255
P0AEZ3,270,0,0,0,153,104,257
P0AF12,232,1,1,2,119,113,232
P0AF24,250,0,1,1,62,188,250
P0AF93,128,2,1,3,61,65,126
P0AFF6,495,0,2,2,57,262,319
P0AFG6,405,0,0,0,95,138,233
P0AFG8,887,1,0,1,517,314,831
P0AFK9,348,1,0,1,182,141,323
P0AFL3,190,0,1,1,103,63,166
P0AFQ7,265,0,0,0,67,198,265
P0AFR4,206,0,0,0,159,46,205
P0AG30,419,1,1,2,89,319,408
P0AG55,177,0,0,0,52,124,176
P0AG67,557,0,0,0,51,126,177
P0AG82,346,0,0,0,190,131,321
P0AGD3,193,4,2,6,81,111,192
P0AGE9,289,0,0,0,127,160,287
P0AGJ9,424,1,2,3,126,291,417
P0AGK4,97,0,0,0,54,42,96
P0CE48,394,7,13,20,178,208,386
P11875,577,0,1,1,201,372,573
P13035,501,0,1,1,249,250,499
P16456,347,1,0,1,242,93,335
P17169,609,3,1,4,387,221,608
P18843,275,0,1,1,152,109,261
P21367,208,0,0,0,62,142,204
P21889,590,2,1,3,308,282,590
P23721,362,3,0,3,199,161,360
P23843,543,14,8,22,334,183,517
P23847,535,28,15,43,321,186,507
P23869,164,3,0,3,100,64,164
P23882,315,0,0,0,114,200,314
P24182,449,0,1,1,203,244,447
P25553,479,1,0,1,314,163,477
P26602,165,0,0,0,108,56,164
P26616,565,1,1,2,248,309,557
P27302,663,6,3,9,454,208,662
P31057,264,1,3,4,110,152,262
P31663,283,0,0,0,91,191,282
P31697,241,0,0,0,48,157,205
P33136,511,0,0,0,296,189,485
P35340,521,5,3,8,330,191,521
P36683,865,6,1,7,609,253,862
P37095,427,1,0,1,186,240,426
P37744,293,0,1,1,75,215,290
P38489,217,2,0,2,121,96,217
P39377,390,0,1,1,173,216,389
P45523,270,1,0,1,83,130,213
P45748,190,0,0,0,118,68,186
P45799,186,0,0,0,63,122,185
P60422,273,0,0,0,114,157,271
P60624,104,0,0,0,49,53,102
P60723,201,1,0,1,70,131,201
P60906,424,1,0,1,63,128,191
P61175,110,0,0,0,41,69,110
P61316,203,0,0,0,76,106,182
P61517,220,1,0,1,68,146,214
P61889,312,1,1,2,113,199,312
P61949,176,1,0,1,62,113,175
P62399,179,0,1,1,41,136,177
P62707,250,5,0,5,132,114,246
P63224,192,0,0,0,70,122,192
P63284,857,0,0,0,124,219,343
P63386,269,0,1,1,64,199,263
P65556,180,0,0,0,114,47,161
P67095,184,0,0,0,80,104,184
P67910,310,1,0,1,154,152,306
P69441,214,1,0,1,53,161,214
P69503,183,1,2,3,67,115,182
P69783,169,1,1,2,56,105,161
P76344,216,0,0,0,54,136,190
P77395,284,0,0,0,84,190,274
P77581,406,0,0,0,196,205,401
P77608,269,4,2,6,75,186,261
Q46893,236,0,0,0,54,171,225
