gene,avgFractEntR_cut,avgFractNonEntR_cut,avgDiff,NumBuffEntR_cut
P31057,0.0353982300884955,0.0596026490066225,-0.0220619658119658,1
P0A705,0.0353356890459364,0.0082372322899505,0.0259597581922416,1
P21889,0.033003300330033,0.0209059233449477,0.0114710660894786,1
P37647,0.032258064516129,0.0,0.03125,1
P38489,0.032258064516129,0.021505376344086,0.0101973684210526,1
P0A6H5,0.03125,0.031700288184438,-0.0004232266802099,1
P0A998,0.0298507462686567,0.0306122448979591,-0.0007174630506528,1
P09158,0.0294117647058823,0.0,0.0285714285714285,1
P69503,0.0294117647058823,0.0260869565217391,0.0031476997578692,1
P02925,0.0287769784172661,0.019108280254777,0.0092220279720279,1
P0ABT2,0.0285714285714285,0.0103092783505154,0.0175736961451247,1
P0A7D4,0.0273224043715847,0.0281124497991967,-0.0007480053191489,1
P0A715,0.027027027027027,0.0220588235294117,0.0047330556607345,1
P61889,0.0265486725663716,0.0301507537688442,-0.0034062237174095,1
P0A7I4,0.0264900662251655,0.0088105726872246,0.0170728271587547,1
P05055,0.0263157894736842,0.0165631469979296,0.0093477466186223,1
P61316,0.0263157894736842,0.0,0.0256410256410256,1
P09373,0.0261780104712041,0.0449735449735449,-0.0175277706019116,1
P60422,0.0258620689655172,0.0063694267515923,0.0188809701095628,1
P0A7W1,0.0256410256410256,0.0,0.025,1
P0AB77,0.024390243902439,0.0,0.0238095238095238,1
P16456,0.024390243902439,0.0198019801980198,0.0043920480813684,1
P0A8T7,0.0242792109256449,0.0187165775401069,0.0053310002916302,1
P0ADF6,0.0233463035019455,0.0057803468208092,0.0170665617761461,1
P0A6I0,0.0229885057471264,0.0,0.0224719101123595,1
P0AEG6,0.0229885057471264,0.0201342281879194,0.0027350680070963,1
P0A6T1,0.0229508196721311,0.0122950819672131,0.0102901484480431,1
P0AEP3,0.0227272727272727,0.0,0.0222222222222222,1
P0A794,0.0224719101123595,0.0064935064935064,0.0155264090747961,1
P0A847,0.0218978102189781,0.0252100840336134,-0.0031615925058548,1
P00957,0.0210970464135021,0.0234741784037558,-0.0022746227917203,1
P0AF08,0.0208333333333333,0.0169491525423728,0.0037414965986394,1
P76177,0.0207253886010362,0.0,0.0203045685279187,1
P45577,0.0196078431372549,0.011049723756906,0.0083018074821353,1
P12758,0.0195121951219512,0.0,0.0191387559808612,1
P0ACB2,0.0193548387096774,0.0177514792899408,0.0015454813070356,1
P0A8M3,0.0192307692307692,0.0088495575221238,0.0100959947037404,1
P25745,0.018796992481203,0.0,0.018450184501845,1
P0A8R0,0.0186915887850467,0.0,0.018348623853211,1
P0A9K9,0.0185185185185185,0.0492957746478873,-0.0287980475899939,1
P0A6L2,0.0181818181818181,0.0,0.0178571428571428,1
P0ABB0,0.0181818181818181,0.0336134453781512,-0.0146631823461091,1
P13035,0.0181818181818181,0.0044247787610619,0.0134518565135305,1
P65556,0.0176991150442477,0.0149253731343283,0.0026854219948849,1
P0AFF6,0.0175438596491228,0.0205479452054794,-0.0028928488775746,1
P37759,0.0175438596491228,0.031578947368421,-0.0133708655876143,1
P0AES6,0.0173160173160173,0.0104712041884816,0.0066585822952265,1
P76569,0.0163934426229508,0.0,0.0161290322580645,1
P09030,0.0158730158730158,0.0140845070422535,0.0017361111111111,1
P77690,0.0155038759689922,0.0078740157480314,0.007454675572519,1
P60651,0.015228426395939,0.0275229357798165,-0.0117857142857142,1
P60438,0.0150375939849624,0.0,0.0148148148148148,1
P0AFG8,0.0149253731343283,0.017094017094017,-0.0021008403361344,1
P00960,0.014388489208633,0.0182926829268292,-0.0037796746931668,1
P0A8I5,0.0140845070422535,0.0,0.0138888888888888,1
P0C0V0,0.0140845070422535,0.003831417624521,0.0100720949957591,1
P63224,0.0136986301369863,0.0084033613445378,0.0051801801801801,1
P07813,0.0135922330097087,0.008695652173913,0.0047892720306513,1
P0A749,0.0135135135135135,0.008695652173913,0.0047126436781609,1
P63284,0.0134529147982062,0.0205047318611987,-0.0068183994200599,1
P22259,0.0131926121372031,0.0062111801242236,0.0068479938271604,1
P60906,0.0128205128205128,0.0105263157894736,0.0022415611814345,1
P67910,0.0128205128205128,0.0194805194805194,-0.0064500524066758,1
P0AEQ3,0.0122699386503067,0.0,0.0121212121212121,1
P0A8A2,0.0120481927710843,0.0,0.0119047619047619,1
P0A9C5,0.012,0.0136986301369863,-0.001655806003632,1
P39377,0.0116959064327485,0.0182648401826484,-0.0063765260893232,1
P00509,0.0116279069767441,0.0133928571428571,-0.0017216061572737,1
P07012,0.0116279069767441,0.010752688172043,0.0008559550012227,1
P36938,0.0115942028985507,0.0,0.0114613180515759,1
P00961,0.0111111111111111,0.0039292730844793,0.0070751166641577,1
P33136,0.0111111111111111,0.0082987551867219,0.0027585583141138,1
P0A7K6,0.0108695652173913,0.0434782608695652,-0.0309139784946236,1
P18843,0.0106951871657754,0.0227272727272727,-0.0116402116402116,1
P27248,0.0104529616724738,0.0129870129870129,-0.0024756852343059,1
P05020,0.0103092783505154,0.0129870129870129,-0.0026164311878597,1
P0A6H1,0.0103092783505154,0.0152905198776758,-0.0048561593312023,1
P0A9M0,0.009771986970684,0.0125786163522012,-0.0027449408936084,1
P00959,0.0096385542168674,0.0114503816793893,-0.0017742153375061,1
P0AB91,0.0095238095238095,0.0071428571428571,0.0023417636825906,1
P75823,0.0095238095238095,0.0,0.0094339622641509,1
P0AAB6,0.0094339622641509,0.0,0.0093457943925233,1
P0AA43,0.0092592592592592,0.0,0.0091743119266055,1
P0A9T0,0.009090909090909,0.0157894736842105,-0.0065350324417681,1
P0ABZ4,0.008695652173913,0.0273972602739726,-0.0180459770114942,1
P45565,0.0085470085470085,0.0,0.0084745762711864,1
P45748,0.0084033613445378,0.0,0.0083333333333333,1
P30850,0.0082191780821917,0.007168458781362,0.0010347361906235,1
P00946,0.0081632653061224,0.0,0.0080971659919028,1
P0AGE9,0.0078125,0.0,0.0077519379844961,1
P22188,0.0076628352490421,0.0,0.0076045627376425,1
P39172,0.0072992700729927,0.0115606936416184,-0.0041821946169772,1
P77580,0.0069930069930069,0.0115606936416184,-0.0044841269841269,1
P0A6F3,0.0069204152249134,0.0,0.0068728522336769,1
P04036,0.00625,0.0,0.0062111801242236,1
P0A9W3,0.006060606060606,0.0,0.0060240963855421,1
P23882,0.0058823529411764,0.0,0.0058479532163742,1
P31120,0.0057803468208092,0.0101010101010101,-0.0042528735632183,1
P0AES0,0.0053191489361702,0.0,0.0052910052910052,1
P0AED7,0.0052083333333333,0.0,0.005181347150259,1
P33602,0.0044910179640718,0.0041666666666666,0.0003215613038074,1
