organism,gene,<pLDDT>,std
Ecoli,C1P621,81.8829411764706,4.985604883598711
Ecoli,E2JKY7,83.98176470588236,3.1381077762283627
Ecoli,G3MTW7,89.81241379310345,7.700950078051235
Ecoli,O32528,63.81142857142856,16.70052394857676
Ecoli,O32583,95.30893939393934,7.309464211344972
Ecoli,O52982,75.45986394557822,16.189443944113226
Ecoli,P00350,98.03976495726502,2.3081846541701045
Ecoli,P00363,95.90637873754144,6.20612457458722
Ecoli,P00370,95.77836689038033,5.143910565045395
Ecoli,P00393,89.70617511520732,10.535970649928508
Ecoli,P00448,98.30024271844664,1.9760779138663236
Ecoli,P00452,93.32130091984234,12.797217257266666
Ecoli,P00490,98.176148055207,1.6972562087247054
Ecoli,P00509,97.4384848484848,2.59303247208468
Ecoli,P00547,97.21232258064512,2.925124605971147
Ecoli,P00550,82.29274725274728,15.98528252136218
Ecoli,P00561,90.68078048780492,7.288851987335029
Ecoli,P00562,90.89034567901228,8.340719756312733
Ecoli,P00579,83.20792822185969,17.399985480710683
Ecoli,P00582,91.31310344827575,11.032928538509172
Ecoli,P00634,96.02242038216562,10.730476374737467
Ecoli,P00722,97.88950195312492,4.276370034260139
Ecoli,P00803,90.16089506172833,9.703259831590533
Ecoli,P00804,93.3207926829268,10.880403170477718
Ecoli,P00805,94.74951149425291,12.90192808554522
Ecoli,P00811,96.2047480106101,9.464339295756552
Ecoli,P00816,98.1859615384615,2.4202261440337143
Ecoli,P00861,95.30421428571424,6.637027490259671
Ecoli,P00864,91.86361268403162,8.494667101671475
Ecoli,P00887,96.67344827586216,3.669228074284524
Ecoli,P00888,96.47356741573032,4.380926730170003
Ecoli,P00893,96.96073170731712,2.953218079583696
Ecoli,P00894,94.5792024539877,3.945181106761431
Ecoli,P00895,94.8438653846154,6.281968323729454
Ecoli,P00903,97.4429411764706,1.87505847659678
Ecoli,P00904,92.8626741996234,7.9981029298062305
Ecoli,P00909,96.15061810154536,5.426863933855522
Ecoli,P00914,97.20400423728812,2.7191673435731984
Ecoli,P00926,96.30696832579184,3.389252222534643
Ecoli,P00934,96.04077102803744,4.058229681010369
Ecoli,P00935,97.2145336787564,3.6008941628686904
Ecoli,P00936,83.5265919811321,17.202323657310924
Ecoli,P00944,97.90704545454552,2.6348513668149502
Ecoli,P00946,97.82882352941172,1.5173966961753986
Ecoli,P00954,95.04164670658682,6.130269844484966
Ecoli,P00956,93.87555437100212,4.716727317783738
Ecoli,P00957,90.69976027397264,10.135127239767428
Ecoli,P00959,94.656011816839,7.260650795436486
Ecoli,P00960,96.04448844884486,5.514540903101434
Ecoli,P00961,94.88740203193034,4.110333688747799
Ecoli,P00962,94.81359205776172,8.074033428063204
Ecoli,P00963,97.66403030303024,1.971580922106689
Ecoli,P00968,95.32700838769796,6.336040897612674
Ecoli,P02338,72.31724137931033,6.431760040424246
Ecoli,P02358,91.0523703703704,9.461414208551952
Ecoli,P02359,86.71329608938548,17.037847149933874
Ecoli,P02413,93.30222222222226,3.2025249249711902
Ecoli,P02916,90.78369649805455,8.358848334541728
Ecoli,P02918,90.36860000000004,13.175207574388924
Ecoli,P02919,87.473009478673,18.41742580195523
Ecoli,P02920,81.86052757793765,13.078138410263763
Ecoli,P02921,67.85065539112053,10.114689033419015
Ecoli,P02924,94.40063829787236,13.061243228290468
Ecoli,P02925,94.52385135135135,12.201279675002672
Ecoli,P02929,75.71757322175732,18.534538424596374
Ecoli,P02930,89.04322515212978,17.124093957288036
Ecoli,P02931,94.3487569060774,14.706387695911337
Ecoli,P02932,93.65672364672363,15.64809260216791
Ecoli,P02942,87.8636660617059,13.391732015632009
Ecoli,P02943,95.13047085201792,13.343268032840964
Ecoli,P03004,87.20659528907923,16.328356234350917
Ecoli,P03007,88.31456790123451,15.451495969450631
Ecoli,P03014,82.2245652173913,9.309501389189
Ecoli,P03018,87.78925000000011,10.917795857312246
Ecoli,P03023,93.80208333333336,7.391769848490655
Ecoli,P03024,93.72411078717204,10.765259222772984
Ecoli,P03030,91.88199356913177,10.124930608152056
Ecoli,P03061,75.83406250000002,9.563321160616418
Ecoli,P03813,97.20699999999992,2.860451188186927
Ecoli,P03817,85.06761904761903,8.002348153118485
Ecoli,P03819,83.23727419354833,13.876575196455445
Ecoli,P03825,67.1717985611511,20.780916995014127
Ecoli,P03835,87.94481900452486,13.042613661421044
Ecoli,P03841,81.1371241830066,20.350857128075063
Ecoli,P03959,97.6782405745063,1.8597890248116116
Ecoli,P03960,86.3170674486804,9.426997943519572
Ecoli,P03961,95.43636842105263,4.589863313072295
Ecoli,P04036,95.7720146520147,6.596668265489293
Ecoli,P04079,90.71091428571428,12.302399143577286
Ecoli,P04128,84.14873626373627,12.964028128866724
Ecoli,P04152,92.5250236966825,7.462736615722614
Ecoli,P04335,94.20618357487923,9.565550125477111
Ecoli,P04391,96.13209580838328,5.95722017843002
Ecoli,P04395,96.80365248226944,3.8423969958292528
Ecoli,P04425,95.48753164556962,6.71762066892216
Ecoli,P04693,97.98214105793448,1.867087388183867
Ecoli,P04805,94.70997876857751,6.306031605278228
Ecoli,P04816,94.82959349593504,11.13059791124694
Ecoli,P04825,96.60085057471277,4.027203526274765
Ecoli,P04846,91.30595588235292,14.648605328046663
Ecoli,P04949,87.94022088353415,11.363967793312131
Ecoli,P04951,95.87431451612905,3.711439966763043
Ecoli,P04968,90.08490272373542,8.803175413683302
Ecoli,P04982,97.7356115107914,3.067645059127337
Ecoli,P04983,89.86177644710575,10.08161342145021
Ecoli,P04993,88.23136513157887,7.965604943548163
Ecoli,P04994,87.15945175438598,10.72794262610033
Ecoli,P04995,95.64621052631574,7.753952849855609
Ecoli,P05020,96.98994252873564,5.845758703905188
Ecoli,P05041,94.59834437086089,6.6347587059897455
Ecoli,P05042,96.85841541755886,5.735973195153763
Ecoli,P05050,95.97217592592598,8.973144468592672
Ecoli,P05052,89.20855421686741,12.956124550634671
Ecoli,P05055,92.23229254571024,9.847528434242854
Ecoli,P05100,97.3824598930482,4.167113203597904
Ecoli,P05194,97.78376984126992,1.9495639710421635
Ecoli,P05458,93.49795218295212,8.656097670863378
Ecoli,P05459,96.89370370370366,3.416294604137854
Ecoli,P05523,92.34137546468403,10.851682923476233
Ecoli,P05637,94.8306071428572,9.787643193038592
Ecoli,P05704,88.98487179487186,11.890573423467636
Ecoli,P05706,88.02756097560973,5.615124515044409
Ecoli,P05707,97.70745173745172,2.8341181942167517
Ecoli,P05719,93.3868965517242,10.530888344965302
Ecoli,P05791,96.0203409090911,4.737655735097314
Ecoli,P05793,95.81549898167,7.640693279656445
Ecoli,P05804,96.25169154228855,7.60298508569572
Ecoli,P05824,89.41746835443038,5.957018875251414
Ecoli,P05825,93.14093833780169,15.06778428463218
Ecoli,P05827,91.50461279461275,8.331510382524431
Ecoli,P05847,96.45557755775576,3.880967809074677
Ecoli,P05852,96.6426112759644,2.822059406532308
Ecoli,P06129,91.10469055374584,12.874021242403074
Ecoli,P06134,81.53765536723158,14.573094506169516
Ecoli,P06136,85.3859057971015,15.055244171984802
Ecoli,P06149,93.33859894921196,8.274873820251566
Ecoli,P06282,94.5985657370518,10.010616134538822
Ecoli,P06609,92.0830674846626,6.633496272639851
Ecoli,P06610,97.03710382513658,4.672279235182272
Ecoli,P06611,96.63489959839356,3.176673528834057
Ecoli,P06612,90.22346820809253,11.518842748321118
Ecoli,P06616,87.18009966777402,11.567526561637363
Ecoli,P06709,94.6238629283489,6.169688190460211
Ecoli,P06710,78.58592534992228,18.71135203723401
Ecoli,P06715,98.31611111111113,1.6791458770884706
Ecoli,P06720,95.93279379157444,4.437984820602631
Ecoli,P06721,98.27316455696202,4.053741932642643
Ecoli,P06722,92.79310043668124,8.368794161335508
Ecoli,P06846,92.02975535168204,10.183011783953456
Ecoli,P06864,95.67803883495137,6.956507035460698
Ecoli,P06959,76.98761904761906,21.803667516915787
Ecoli,P06960,96.24209580838318,5.465739326571505
Ecoli,P06961,94.58490291262132,7.561431533462048
Ecoli,P06965,88.81868421052631,13.761204462862182
Ecoli,P06966,90.5407407407408,9.595823908781371
Ecoli,P06968,97.61309210526318,2.472092719250079
Ecoli,P06971,93.93471218206147,14.32743761313908
Ecoli,P06972,86.65863636363625,10.0925615852774
Ecoli,P06974,83.67682634730535,16.928253075949026
Ecoli,P06983,93.73750798722038,10.468664371636647
Ecoli,P06986,96.23601123595505,4.2272671385361855
Ecoli,P06987,94.99433802816904,5.239364416737087
Ecoli,P06988,96.07877880184336,4.233696310952821
Ecoli,P06989,97.0732019704433,2.95326205109861
Ecoli,P06992,94.16457875457878,9.607042665596747
Ecoli,P06993,88.78345172031084,9.94374753021578
Ecoli,P06996,93.47291553133512,13.730475717697546
Ecoli,P06999,95.79702265372175,3.952422738566964
Ecoli,P07000,94.56823529411766,9.857979709080183
Ecoli,P07001,91.27982352941184,13.736360999124546
Ecoli,P07003,94.7518181818182,6.771208110937624
Ecoli,P07004,95.73587529976017,3.8732637962433154
Ecoli,P07010,75.25807228915663,5.584928612724796
Ecoli,P07012,86.22408219178081,8.833420693249556
Ecoli,P07013,94.52403846153848,8.074984224708427
Ecoli,P07014,96.50268907563034,4.26841835928493
Ecoli,P07017,86.6879023508138,14.3521518928103
Ecoli,P07018,88.52324577861165,11.102974086026569
Ecoli,P07021,90.00493749999998,15.208054485899693
Ecoli,P07023,94.12737265415552,5.714905215532711
Ecoli,P07024,94.48827272727264,10.438911268474044
Ecoli,P07026,94.87199999999996,6.034882365603051
Ecoli,P07102,95.62747685185197,9.732452104058746
Ecoli,P07109,96.2442412451362,5.280858642688479
Ecoli,P07117,93.3829282868526,7.62655809897809
Ecoli,P07118,93.62249211356465,5.689537910388182
Ecoli,P07330,92.33303724928368,9.870128849066756
Ecoli,P07363,81.23896024464831,17.27580121983957
Ecoli,P07364,93.12402097902095,12.363667202689523
Ecoli,P07395,94.72667924528297,3.7959201920830186
Ecoli,P07464,97.224433497537,4.852489082402815
Ecoli,P07604,86.99202729044819,13.054207054280216
Ecoli,P07623,92.5642718446602,8.431254837018491
Ecoli,P07639,95.80262430939226,5.432878068526419
Ecoli,P07648,91.56483065953658,5.97825571304965
Ecoli,P07649,96.22059259259268,6.212660819942518
Ecoli,P07650,96.61604545454544,4.129153644043256
Ecoli,P07654,90.5568581081081,8.672424179087923
Ecoli,P07762,95.9544093406594,5.01662748262946
Ecoli,P07813,93.50974418604643,5.8353229264102815
Ecoli,P07821,92.41509433962268,10.836634550787732
Ecoli,P07822,93.65435810810808,12.34396748909193
Ecoli,P07862,94.87330065359474,6.525921307341012
Ecoli,P07913,97.42304985337238,1.7819876116164568
Ecoli,P08142,95.65596085409264,7.290759609134215
Ecoli,P08178,96.00849275362314,5.417882525631365
Ecoli,P08179,97.00617924528296,4.740985092479876
Ecoli,P08189,85.5202840909091,13.553752810945072
Ecoli,P08190,89.9720359281437,14.57703154107884
Ecoli,P08191,93.19786666666664,13.56660174038518
Ecoli,P08192,95.76869668246437,6.8969995164418725
Ecoli,P08194,84.74865044247781,10.89736319052128
Ecoli,P08200,97.4884134615385,4.331967196388729
Ecoli,P08201,91.00070838252662,8.44208276917878
Ecoli,P08202,98.08832000000004,2.5828100932124296
Ecoli,P08203,96.99627705627704,6.380817775986037
Ecoli,P08204,94.80814487632504,9.233527760165058
Ecoli,P08244,93.10310204081642,11.953884526600628
Ecoli,P08245,72.39351851851852,13.884214745584602
Ecoli,P08312,94.12250764525996,4.889536335600614
Ecoli,P08331,93.93503863987635,8.938161726265353
Ecoli,P08337,92.4689147286822,10.179481584727885
Ecoli,P08365,91.75686746987957,4.263053921952186
Ecoli,P08368,88.74742358078602,10.612186284120549
Ecoli,P08369,85.99351111111102,12.219317225192109
Ecoli,P08370,93.1234074074074,8.65182054598598
Ecoli,P08371,94.52160427807485,6.871195055480741
Ecoli,P08372,82.28485981308415,10.486196299460303
Ecoli,P08373,97.82102339181284,2.5332748964941025
Ecoli,P08390,95.91857566765586,5.940167527616023
Ecoli,P08394,89.05593220338977,11.478800765426358
Ecoli,P08395,89.88949838187702,14.383489711665806
Ecoli,P08400,87.57835266821347,8.533305016350655
Ecoli,P08401,89.11816455696207,7.882647275233619
Ecoli,P08506,92.1759000000001,12.907762729845944
Ecoli,P08550,88.26845679012344,10.822710950120644
Ecoli,P08555,86.5993258426966,8.31059610589996
Ecoli,P08622,85.60143617021272,15.107698863781064
Ecoli,P08660,93.00567928730516,9.186296443939783
Ecoli,P08722,86.61222400000013,14.805145235823389
Ecoli,P08839,89.88979130434782,9.87996903488868
Ecoli,P08956,79.73411111111113,12.27196063736721
Ecoli,P08957,89.31395085066166,11.067232996802945
Ecoli,P08997,96.34159474671668,7.185517008542075
Ecoli,P09029,97.64076056338028,2.517885371792569
Ecoli,P09030,96.45421641791044,3.501496127695669
Ecoli,P09053,95.91057553956834,4.3614100369583255
Ecoli,P09099,95.99061983471076,4.082366640124325
Ecoli,P09126,96.14552845528462,3.330529439406184
Ecoli,P09127,77.67170483460556,20.989490921759103
Ecoli,P09147,97.47266272189354,2.767408269701797
Ecoli,P09148,96.55772988505754,4.947053025760043
Ecoli,P09151,91.29204588910152,10.390972356896864
Ecoli,P09152,98.22411387329586,2.615351139802592
Ecoli,P09153,96.43665000000004,4.169260759115458
Ecoli,P09154,92.85255474452556,7.325574343263597
Ecoli,P09155,95.95512000000004,3.320890711681632
Ecoli,P09158,94.67218749999998,6.710414563767393
Ecoli,P09162,92.68511811023622,10.480022605173502
Ecoli,P09163,94.9161904761905,3.5478743915776807
Ecoli,P09169,93.06930599369085,14.666222857087286
Ecoli,P09184,94.74519230769234,7.58805644444237
Ecoli,P09323,86.88856481481484,13.693007326287908
Ecoli,P09348,92.68528813559324,10.875138986138309
Ecoli,P09372,84.34015228426395,21.26686420643107
Ecoli,P09373,97.7080263157895,3.493639528801192
Ecoli,P09377,91.620035971223,8.26559530983971
Ecoli,P09378,90.71489361702127,9.38456659824574
Ecoli,P09391,87.97684782608701,12.662186367864132
Ecoli,P09394,93.80865921787714,15.093171266261256
Ecoli,P09424,97.22882198952884,4.566608250765141
Ecoli,P09546,89.11088636363645,15.436943111362767
Ecoli,P09549,70.55468181818183,19.25283387378304
Ecoli,P09551,94.19326923076922,12.255882029137284
Ecoli,P09557,74.61112903225805,14.55277105913096
Ecoli,P09831,93.88160161507416,7.403102764641772
Ecoli,P09832,95.26161016949156,5.316285934387632
Ecoli,P09833,91.88082386363638,5.969800100648534
Ecoli,P09835,86.36546000000006,8.148163497893252
Ecoli,P09836,76.37847380410021,10.508056381823112
Ecoli,P09980,88.44129271916795,10.178069771445545
Ecoli,P09996,87.01545454545452,9.7133820034478
Ecoli,P0A698,90.31119148936168,6.093875026259748
Ecoli,P0A6A0,85.82124542124541,8.322412780731437
Ecoli,P0A6A3,96.80512499999992,3.5595387319672467
Ecoli,P0A6A6,97.35062231759662,2.3422391800730566
Ecoli,P0A6A8,91.13769230769232,6.4005650638123095
Ecoli,P0A6B4,98.5131197771588,1.6024705037717375
Ecoli,P0A6B7,95.11267326732684,9.569032110245484
Ecoli,P0A6C1,97.3177894736842,6.672727501296292
Ecoli,P0A6C5,92.1177426636568,7.822990448322527
Ecoli,P0A6C8,93.4596511627907,5.6342440901561845
Ecoli,P0A6D0,87.67820512820512,13.8520866468104
Ecoli,P0A6D3,97.27107728337238,2.593683511074508
Ecoli,P0A6D5,96.75427083333336,4.643461370151986
Ecoli,P0A6D7,92.46774566473988,10.07509320108048
Ecoli,P0A6E1,92.5147701149425,8.51788252139593
Ecoli,P0A6E4,95.47241610738244,7.937139667961868
Ecoli,P0A6E6,83.85848920863306,8.098581536131224
Ecoli,P0A6E9,92.91640692640696,13.268216900944708
Ecoli,P0A6F1,98.07369109947648,3.5675127709020256
Ecoli,P0A6F3,95.6594621513944,4.838108878423864
Ecoli,P0A6F5,90.64775547445257,11.441927567436151
Ecoli,P0A6F9,88.81309278350514,11.014253685526004
Ecoli,P0A6G3,97.4910909090909,4.031652043995953
Ecoli,P0A6G5,96.1243169398907,5.905351324028473
Ecoli,P0A6G7,92.74903381642508,15.444229885224082
Ecoli,P0A6H1,85.32622641509431,15.098356711334464
Ecoli,P0A6H5,87.5513544018059,12.085860195937803
Ecoli,P0A6H8,90.31502057613164,10.899751700818433
Ecoli,P0A6I0,93.52903083700444,7.18952939916292
Ecoli,P0A6I3,90.91715189873418,11.033577927776609
Ecoli,P0A6I6,95.33025157232704,5.673903290774665
Ecoli,P0A6I9,94.08577669902915,6.145365854374925
Ecoli,P0A6J1,94.93587064676616,7.23040032906831
Ecoli,P0A6J3,89.54003952569172,11.056754396521567
Ecoli,P0A6J5,93.3605555555556,10.252413679979565
Ecoli,P0A6J8,94.83640109890108,9.704140810040716
Ecoli,P0A6K1,94.96058394160582,4.09301367856019
Ecoli,P0A6K3,97.0960355029586,3.4806359037678054
Ecoli,P0A6K6,96.94909090909088,2.643799924981576
Ecoli,P0A6L0,96.96366795366804,6.887090272011959
Ecoli,P0A6L2,98.28510273972596,1.6779985396398869
Ecoli,P0A6L4,98.4516498316499,2.636586592651019
Ecoli,P0A6L7,96.65302277432713,2.859503419640331
Ecoli,P0A6L9,94.41380116959068,7.033497890001361
Ecoli,P0A6M2,78.4613636363637,13.215495526242377
Ecoli,P0A6M4,98.0138620689655,1.062857038563186
Ecoli,P0A6M8,86.8489630681818,9.310712102856172
Ecoli,P0A6N4,92.8668085106383,8.84174313861748
Ecoli,P0A6N8,93.58763157894737,7.245325474586147
Ecoli,P0A6P1,94.15508833922264,7.866082279883188
Ecoli,P0A6P5,74.33130612244899,16.840902634934693
Ecoli,P0A6P7,89.94704761904765,10.303192054967331
Ecoli,P0A6P9,97.49379629629637,2.535284233313888
Ecoli,P0A6Q3,97.12343023255814,4.562359826558287
Ecoli,P0A6Q6,95.7167549668874,8.547545370096964
Ecoli,P0A6R0,97.79451104100949,1.6575229982192494
Ecoli,P0A6R3,91.0614285714286,12.45230287692905
Ecoli,P0A6S0,80.48551724137926,12.49308569768505
Ecoli,P0A6S3,83.48813698630128,13.733805579928026
Ecoli,P0A6S5,80.26864077669902,11.25150216927204
Ecoli,P0A6S7,94.62536873156344,9.174000267671389
Ecoli,P0A6T1,98.36795992714023,0.9764963904592574
Ecoli,P0A6T3,96.7219371727748,4.813172089873098
Ecoli,P0A6T5,96.70977477477474,6.865993261195871
Ecoli,P0A6T9,97.2128682170543,3.465354147880149
Ecoli,P0A6U3,93.84608903020674,6.299511271200695
Ecoli,P0A6U5,91.83507246376811,5.526945139884244
Ecoli,P0A6U8,97.37155136268343,2.8788886934018647
Ecoli,P0A6V1,93.1722737819026,9.267164443629753
Ecoli,P0A6V5,97.04935185185184,5.2657322084412055
Ecoli,P0A6V8,96.16788161993776,3.837342570670197
Ecoli,P0A6W0,96.03240259740257,6.059157666715986
Ecoli,P0A6W3,92.3514722222223,8.22726563184915
Ecoli,P0A6W5,95.46297468354427,4.9863698407992665
Ecoli,P0A6W9,95.54749034749037,6.414172492189412
Ecoli,P0A6X1,91.30655502392342,6.377690526946152
Ecoli,P0A6X3,80.95980392156866,21.52913547895868
Ecoli,P0A6X7,95.8969696969697,7.975766636726916
Ecoli,P0A6Y1,98.0108510638298,2.516178992539853
Ecoli,P0A6Y5,91.33530821917805,11.131536016340384
Ecoli,P0A6Y8,92.20553291536042,11.688569448417711
Ecoli,P0A6Z1,89.32780844155847,11.399964181804355
Ecoli,P0A6Z3,90.1562660256411,9.79639091705426
Ecoli,P0A6Z6,90.20661654135338,7.8235393685630354
Ecoli,P0A700,92.16999999999996,6.202130056793337
Ecoli,P0A703,91.42194690265488,4.515506196382645
Ecoli,P0A705,78.57806741573033,17.591675619354135
Ecoli,P0A707,89.20533333333331,11.976988974232585
Ecoli,P0A710,90.825530726257,10.075648287106914
Ecoli,P0A712,90.77834862385312,6.408129467078565
Ecoli,P0A715,97.55714788732402,3.4302986102661865
Ecoli,P0A717,94.4307619047619,7.61619198628042
Ecoli,P0A720,97.2812676056338,3.1794945694433285
Ecoli,P0A722,97.8269083969466,1.6254284177493643
Ecoli,P0A725,95.34449180327871,8.59373491700223
Ecoli,P0A729,96.08288659793816,4.228915914496556
Ecoli,P0A731,97.205,2.522383740996224
Ecoli,P0A734,80.6110227272727,11.12110718815319
Ecoli,P0A738,93.64527950310556,9.263309783856506
Ecoli,P0A742,85.11073529411767,9.089364796316572
Ecoli,P0A744,94.98207547169808,7.711028761478053
Ecoli,P0A746,94.60846715328468,6.455769997724488
Ecoli,P0A749,97.19303102625304,4.004678365125792
Ecoli,P0A752,94.10469483568076,5.618640883377251
Ecoli,P0A754,95.97613636363634,4.844302870340249
Ecoli,P0A756,95.2328804347826,8.064505151187532
Ecoli,P0A759,97.51112781954888,2.6182266437606683
Ecoli,P0A761,98.30314410480348,1.7050911899758818
Ecoli,P0A763,97.17608391608394,3.2373970885638985
Ecoli,P0A766,82.28455958549218,10.08746474656982
Ecoli,P0A769,80.74723300970874,13.365367636264354
Ecoli,P0A772,93.99676470588236,10.090282153866497
Ecoli,P0A776,91.61301136363642,13.1102862772938
Ecoli,P0A780,94.59330935251796,4.460487179974659
Ecoli,P0A784,97.01403314917124,4.250970481201946
Ecoli,P0A786,94.370610932476,6.110786884437939
Ecoli,P0A790,97.19674603174602,3.858266908687724
Ecoli,P0A794,97.03728395061734,5.173801369072343
Ecoli,P0A796,95.88262499999996,3.706841561137325
Ecoli,P0A799,96.44498708010345,3.3787551317228
Ecoli,P0A7A2,95.569953488372,8.23630073305234
Ecoli,P0A7A5,97.01052884615387,3.9854145389463342
Ecoli,P0A7A7,90.00991325898396,10.767045981820274
Ecoli,P0A7A9,96.61238636363642,4.093294959253536
Ecoli,P0A7B1,90.9737645348837,9.247892779295556
Ecoli,P0A7B3,92.69691780821918,8.219986506760623
Ecoli,P0A7B5,93.03700272479568,9.688355872783768
Ecoli,P0A7B8,96.22079545454544,3.592366345204948
Ecoli,P0A7C2,92.31752475247528,8.841973191135203
Ecoli,P0A7C6,98.40558951965065,0.908276465170566
Ecoli,P0A7C8,88.13022058823528,12.340906420310878
Ecoli,P0A7D1,97.4980927835051,2.9184078012649306
Ecoli,P0A7D4,95.14210648148138,5.402776674471864
Ecoli,P0A7D7,96.42527426160336,4.279401604119148
Ecoli,P0A7E1,96.28812500000002,4.152670009832888
Ecoli,P0A7E3,94.37765258215964,7.482266366722534
Ecoli,P0A7E5,94.15799999999987,7.292026048356401
Ecoli,P0A7E9,95.32348547717842,6.589946533950674
Ecoli,P0A7F3,90.3917647058824,10.547142853683608
Ecoli,P0A7F6,87.9108333333333,13.264289209940708
Ecoli,P0A7F9,95.33671348314604,4.643482037734401
Ecoli,P0A7G2,73.86406015037592,13.778129997279958
Ecoli,P0A7G6,91.03526912181307,14.666828040091074
Ecoli,P0A7H0,95.1681232492998,3.572354104054298
Ecoli,P0A7H3,93.28264462809912,10.53080736457295
Ecoli,P0A7H6,95.87303482587066,4.932859084753074
Ecoli,P0A7I0,88.89997222222226,7.3900591073644
Ecoli,P0A7I4,88.0284688090737,12.86708938139617
Ecoli,P0A7I7,94.65285714285716,6.302623522415576
Ecoli,P0A7J0,96.35161290322584,7.124563576409684
Ecoli,P0A7J3,65.72551515151518,7.927760844484791
Ecoli,P0A7J7,81.05781690140843,6.980688867516332
Ecoli,P0A7K2,78.20677685950412,14.12192072571101
Ecoli,P0A7K6,94.14486956521738,6.365815274842771
Ecoli,P0A7L0,83.16098290598298,8.41494348288927
Ecoli,P0A7L3,95.06872881355928,3.463240264527968
Ecoli,P0A7L8,91.75764705882352,11.222889493410992
Ecoli,P0A7M2,94.75474358974355,3.696556514170845
Ecoli,P0A7M6,87.26761904761909,8.52265509607313
Ecoli,P0A7M9,74.7252857142857,9.657184257096382
Ecoli,P0A7N1,80.91505747126438,9.773027963298258
Ecoli,P0A7N4,89.94578947368419,6.651320920746975
Ecoli,P0A7N9,84.91890909090911,8.3870583580196
Ecoli,P0A7P5,95.2341304347826,5.337146109268738
Ecoli,P0A7Q1,93.60784615384615,3.0810480196531
Ecoli,P0A7Q6,95.48184210526313,1.5447429615228914
Ecoli,P0A7R1,91.08476510067116,3.4652393864241167
Ecoli,P0A7R5,88.8306796116505,7.715621181586073
Ecoli,P0A7R9,92.27643410852708,8.582840533617253
Ecoli,P0A7S3,96.31032258064518,2.414414019432468
Ecoli,P0A7S9,91.76737288135595,5.068255713714883
Ecoli,P0A7T3,96.41256097560976,2.769188404029902
Ecoli,P0A7T7,90.7136,9.254184010849723
Ecoli,P0A7U3,88.63021739130436,11.22326174962373
Ecoli,P0A7U7,94.6447126436782,5.140229396705917
Ecoli,P0A7V0,93.517510373444,8.056654141728806
Ecoli,P0A7V3,89.39772532188847,13.876653827031989
Ecoli,P0A7V8,93.24126213592236,4.154097796646138
Ecoli,P0A7W1,91.98125748502989,12.398843300292103
Ecoli,P0A7W7,94.86846153846156,4.699464202117327
Ecoli,P0A7X3,92.99876923076924,6.670319334459832
