gene,pdb,chain,traj,<Q>,<G>,<K>,Mirror
P0AA25,6LUR,D,24,0.75,0.03,0.27,TRUE
P0AA25,6LUR,D,25,0.73,0.23,0.48,FALSE
P0AA25,6LUR,D,27,0.76,0.04,0.27,TRUE
P0AA25,6LUR,D,28,0.72,0.08,0.26,TRUE
P0AA25,6LUR,D,29,0.76,0.03,0.27,TRUE
P0AA25,6LUR,D,34,0.73,0.23,0.48,FALSE
P0AA25,6LUR,D,35,0.74,0.23,0.48,FALSE
P0AA25,6LUR,D,36,0.73,0.23,0.49,FALSE
P0AA25,6LUR,D,37,0.76,0.04,0.26,TRUE
P0AA25,6LUR,D,39,0.75,0.04,0.26,TRUE
P0AA25,6LUR,D,40,0.72,0.06,0.26,TRUE
P0AA25,6LUR,D,43,0.87,0.26,0.48,FALSE
P0AA25,6LUR,D,45,0.87,0.27,0.47,FALSE
P0AA25,6LUR,D,46,0.75,0.03,0.28,TRUE
P0AA25,6LUR,D,48,0.87,0.26,0.46,FALSE
P0A790,4CRZ,A,0,0.64,0.08,0.37,FALSE
P0A790,4CRZ,A,3,0.66,0.08,0.40,FALSE
P0A790,4CRZ,A,6,0.65,0.08,0.39,FALSE
P0A790,4CRZ,A,13,0.64,0.08,0.45,FALSE
P0A790,4CRZ,A,14,0.65,0.08,0.41,FALSE
P0A790,4CRZ,A,19,0.64,0.08,0.44,FALSE
P0A790,4CRZ,A,20,0.63,0.07,0.42,FALSE
P0A790,4CRZ,A,23,0.65,0.08,0.40,FALSE
P0A790,4CRZ,A,24,0.65,0.08,0.40,FALSE
P0A790,4CRZ,A,30,0.63,0.07,0.47,FALSE
P0A790,4CRZ,A,33,0.64,0.08,0.40,FALSE
P0A790,4CRZ,A,36,0.65,0.08,0.37,FALSE
P0A790,4CRZ,A,37,0.64,0.08,0.45,FALSE
P0A790,4CRZ,A,43,0.66,0.08,0.33,FALSE
P0A790,4CRZ,A,44,0.68,0.08,0.39,FALSE
P0A790,4CRZ,A,45,0.64,0.08,0.41,FALSE
P0A790,4CRZ,A,48,0.65,0.08,0.39,FALSE
P0A7J3,6XZ7,H,0,0.63,0.03,0.35,TRUE
P0A7J3,6XZ7,H,6,0.63,0.03,0.35,TRUE
P0A7J3,6XZ7,H,30,0.58,0.11,0.40,TRUE
P0A7J3,6XZ7,H,33,0.61,0.03,0.38,TRUE
P0A7J3,6XZ7,H,34,0.61,0.03,0.37,TRUE
P0A7J3,6XZ7,H,37,0.59,0.11,0.40,TRUE
P0A7J3,6XZ7,H,45,0.62,0.03,0.37,TRUE
P0A7J3,6XZ7,H,48,0.58,0.11,0.42,TRUE
P65556,2FKB,A,5,0.64,0.03,0.35,FALSE
P65556,2FKB,A,43,0.65,0.03,0.35,FALSE
P65556,2FKB,A,48,0.63,0.03,0.40,FALSE
P60546,2ANB,A,1,0.75,0.02,0.41,FALSE
P60546,2ANB,A,13,0.75,0.02,0.49,FALSE
P60546,2ANB,A,17,0.75,0.02,0.46,FALSE
P60546,2ANB,A,49,0.75,0.02,0.41,FALSE
P60438,6PCR,N,0,0.64,0.00,0.43,FALSE
P60438,6PCR,N,2,0.66,0.01,0.29,TRUE
P60438,6PCR,N,3,0.67,0.01,0.28,TRUE
P60438,6PCR,N,4,0.59,0.01,0.42,FALSE
P60438,6PCR,N,5,0.67,0.01,0.28,TRUE
P60438,6PCR,N,6,0.61,0.00,0.31,FALSE
P60438,6PCR,N,7,0.56,0.01,0.35,FALSE
P60438,6PCR,N,10,0.66,0.01,0.30,TRUE
P60438,6PCR,N,12,0.59,0.02,0.42,FALSE
P60438,6PCR,N,15,0.66,0.01,0.29,TRUE
P60438,6PCR,N,18,0.65,0.03,0.24,TRUE
P60438,6PCR,N,24,0.66,0.01,0.30,TRUE
P60438,6PCR,N,25,0.64,0.00,0.38,FALSE
P60438,6PCR,N,30,0.65,0.04,0.38,FALSE
P60438,6PCR,N,34,0.66,0.01,0.31,FALSE
P60438,6PCR,N,38,0.60,0.01,0.44,FALSE
P60438,6PCR,N,39,0.65,0.04,0.36,FALSE
P60438,6PCR,N,40,0.66,0.00,0.31,FALSE
P60438,6PCR,N,42,0.64,0.04,0.40,FALSE
P60438,6PCR,N,45,0.67,0.01,0.30,FALSE
P60438,6PCR,N,47,0.67,0.01,0.29,TRUE
P31142,1URH,A,2,0.43,0.03,0.42,FALSE
P31142,1URH,A,5,0.34,0.04,0.46,FALSE
P31142,1URH,A,31,0.54,0.04,0.34,FALSE
P31142,1URH,A,41,0.53,0.04,0.36,FALSE
P0A6L2,1DHP,A,21,0.23,0.00,0.49,FALSE
P0A6L2,1DHP,A,37,0.22,0.00,0.50,FALSE
P0A6L2,1DHP,A,44,0.22,0.00,0.50,FALSE
