Entry	Entry Name	Length
P04994	EX7L_ECOLI	456
P04995	EX1_ECOLI	475
P05020	PYRC_ECOLI	348
P05041	PABB_ECOLI	453
P05042	FUMC_ECOLI	467
P05050	ALKB_ECOLI	216
P05055	PNP_ECOLI	711
P05194	AROD_ECOLI	252
P05458	PTRA_ECOLI	962
P05523	FPG_ECOLI	269
P05637	APAH_ECOLI	280
P05704	MCP3_ECOLI	546
P05791	ILVD_ECOLI	616
P05793	ILVC_ECOLI	491
P05804	BGLR_ECOLI	603
P05824	RECN_ECOLI	553
P05825	FEPA_ECOLI	746
P05852	TSAD_ECOLI	337
P06129	BTUB_ECOLI	614
P06134	ADA_ECOLI	354
P06136	FTSQ_ECOLI	276
P06149	DLD_ECOLI	571
P06609	BTUC_ECOLI	326
P06611	BTUD_ECOLI	249
P06612	TOP1_ECOLI	865
P06616	ERA_ECOLI	301
P06709	BIRA_ECOLI	321
P06710	DPO3X_ECOLI	643
P06715	GSHR_ECOLI	450
P06721	METC_ECOLI	395
P06722	MUTH_ECOLI	229
P06959	ODP2_ECOLI	630
P06960	OTC2_ECOLI	334
P06961	CCA_ECOLI	412
P06968	DUT_ECOLI	152
P06971	FHUA_ECOLI	747
P06972	FHUB_ECOLI	660
P06974	FLIM_ECOLI	334
P06983	HEM3_ECOLI	313
P06988	HISX_ECOLI	434
P06992	RSMA_ECOLI	273
P06993	MALT_ECOLI	901
P06996	OMPC_ECOLI	367
P06999	PFKB_ECOLI	309
P07001	PNTA_ECOLI	510
P07003	POXB_ECOLI	572
P07004	PROA_ECOLI	417
P07012	RF2_ECOLI	365
P07013	PRIB_ECOLI	104
P07014	SDHB_ECOLI	238
P07017	MCP2_ECOLI	553
P07024	USHA_ECOLI	550
P07102	PPA_ECOLI	432
P07117	PUTP_ECOLI	502
P07118	SYV_ECOLI	951
P07330	CHEB_ECOLI	349
P07363	CHEA_ECOLI	654
P07395	SYFB_ECOLI	795
P07464	THGA_ECOLI	203
P07604	TYRR_ECOLI	513
P07623	METAS_ECOLI	309
P07639	AROB_ECOLI	362
P07648	RECC_ECOLI	1122
P07649	TRUA_ECOLI	270
P07658	FDHF_ECOLI	715
P07821	FHUC_ECOLI	265
P07822	FHUD_ECOLI	296
P07862	DDLB_ECOLI	306
P07913	TDH_ECOLI	341
P08142	ILVB_ECOLI	562
P08179	PUR3_ECOLI	212
P08191	FIMH_ECOLI	300
P08192	FOLC_ECOLI	422
P08200	IDH_ECOLI	416
P08201	NIRB_ECOLI	847
P08203	ARAD_ECOLI	231
P08244	PYRF_ECOLI	245
P08312	SYFA_ECOLI	327
P08337	MUTT_ECOLI	129
P08373	MURB_ECOLI	342
P08394	RECB_ECOLI	1180
P08395	SPPA_ECOLI	618
P08506	DACC_ECOLI	400
P08622	DNAJ_ECOLI	376
P08660	AK3_ECOLI	449
P08839	PT1_ECOLI	575
P08956	T1RK_ECOLI	1170
P09029	PURK_ECOLI	355
P09030	EX3_ECOLI	268
P09099	XYLB_ECOLI	484
P09130	TRAD1_ECOLI	717
P09147	GALE_ECOLI	338
P09148	GAL7_ECOLI	348
P09152	NARG_ECOLI	1247
P09158	SPEE_ECOLI	288
P09169	OMPT_ECOLI	317
P09323	PTW3C_ECOLI	648
P09348	MOTA_ECOLI	295
P09372	GRPE_ECOLI	197
P09373	PFLB_ECOLI	760
P09377	RHAS_ECOLI	278
P09391	GLPG_ECOLI	276
P09394	GLPQ_ECOLI	358
P09546	PUTA_ECOLI	1320
P09831	GLTB_ECOLI	1486
P09832	GLTD_ECOLI	472
P09835	UHPB_ECOLI	500
P09980	REP_ECOLI	673
P0A698	UVRA_ECOLI	940
P0A6A0	UBIB_ECOLI	546
P0A6A3	ACKA_ECOLI	400
P0A6A8	ACP_ECOLI	78
P0A6B4	ALR1_ECOLI	359
P0A6B7	ISCS_ECOLI	404
P0A6C1	END4_ECOLI	285
P0A6C8	ARGB_ECOLI	258
P0A6D0	ARGR_ECOLI	156
P0A6D3	AROA_ECOLI	427
P0A6D5	YDIB_ECOLI	288
P0A6D7	AROK_ECOLI	173
P0A6E1	AROL_ECOLI	174
P0A6E4	ASSY_ECOLI	447
P0A6E6	ATPE_ECOLI	139
P0A6F1	CARA_ECOLI	382
P0A6F3	GLPK_ECOLI	502
P0A6F5	CH60_ECOLI	548
P0A6F9	CH10_ECOLI	97
P0A6G7	CLPP_ECOLI	207
P0A6H1	CLPX_ECOLI	424
P0A6H5	HSLU_ECOLI	443
P0A6H8	CLSA_ECOLI	486
P0A6I0	KCY_ECOLI	227
P0A6I6	COAD_ECOLI	159
P0A6J3	CYSZ_ECOLI	253
P0A6J5	DADA_ECOLI	432
P0A6K1	DAPF_ECOLI	274
P0A6K3	DEF_ECOLI	169
P0A6K6	DEOB_ECOLI	407
P0A6L0	DEOC_ECOLI	259
P0A6L2	DAPA_ECOLI	292
P0A6L4	NANA_ECOLI	297
P0A6M2	DSBB_ECOLI	176
P0A6M4	DTD_ECOLI	145
P0A6M8	EFG_ECOLI	704
P0A6N4	EFP_ECOLI	188
P0A6P1	EFTS_ECOLI	283
P0A6P5	DER_ECOLI	490
P0A6P9	ENO_ECOLI	432
P0A6Q3	FABA_ECOLI	172
P0A6Q6	FABZ_ECOLI	151
P0A6R0	FABH_ECOLI	317
P0A6R3	FIS_ECOLI	98
P0A6S5	FTSB_ECOLI	103
P0A6S7	GPDA_ECOLI	339
P0A6T1	G6PI_ECOLI	549
P0A6T3	GAL1_ECOLI	382
P0A6T5	GCH1_ECOLI	222
P0A6U3	MNMG_ECOLI	629
P0A6U5	RSMG_ECOLI	207
P0A6V1	GLGC_ECOLI	431
P0A6W3	MRAY_ECOLI	360
P0A6X1	HEM1_ECOLI	418
P0A6X3	HFQ_ECOLI	102
P0A6X7	IHFA_ECOLI	99
P0A6Y1	IHFB_ECOLI	94
P0A6Y5	HSLO_ECOLI	292
P0A6Y8	DNAK_ECOLI	638
P0A6Z1	HSCA_ECOLI	616
P0A6Z3	HTPG_ECOLI	624
P0A6Z6	NIKR_ECOLI	133
P0A700	HYPA_ECOLI	116
P0A703	HYBF_ECOLI	113
P0A705	IF2_ECOLI	890
P0A707	IF3_ECOLI	180
P0A710	YCIB_ECOLI	179
P0A712	KDGT_ECOLI	327
P0A715	KDSA_ECOLI	284
P0A717	KPRS_ECOLI	315
P0A720	KTHY_ECOLI	213
P0A725	LPXC_ECOLI	305
P0A729	NTPPB_ECOLI	194
P0A731	MGSA_ECOLI	152
P0A738	MOAC_ECOLI	161
P0A742	MSCL_ECOLI	136
P0A744	MSRA_ECOLI	212
P0A746	MSRB_ECOLI	137
P0A749	MURA_ECOLI	419
P0A754	KEFF_ECOLI	176
P0A759	NAGB_ECOLI	266
P0A763	NDK_ECOLI	143
P0A769	MNTH_ECOLI	412
P0A776	RPPH_ECOLI	176
P0A784	ORN_ECOLI	181
P0A786	PYRB_ECOLI	311
P0A790	PAND_ECOLI	126
P0A794	PDXJ_ECOLI	243
P0A796	PFKA_ECOLI	320
P0A799	PGK_ECOLI	387
P0A7A7	PLSB_ECOLI	807
P0A7A9	IPYR_ECOLI	176
P0A7B1	PPK1_ECOLI	688
P0A7B3	NADK_ECOLI	292
P0A7B5	PROB_ECOLI	367
P0A7B8	HSLV_ECOLI	176
P0A7C2	LEXA_ECOLI	202
P0A7D4	PURA_ECOLI	432
P0A7E1	PYRD_ECOLI	336
P0A7E3	PYRE_ECOLI	213
P0A7E5	PYRG_ECOLI	545
P0A7E9	PYRH_ECOLI	241
P0A7F6	SPED_ECOLI	264
P0A7F9	QUEA_ECOLI	356
P0A7G2	RBFA_ECOLI	133
P0A7G6	RECA_ECOLI	353
P0A7I4	RF3_ECOLI	529
P0A7I7	RIBA_ECOLI	196
P0A7J0	RIBB_ECOLI	217
P0A7J3	RL10_ECOLI	165
P0A7J7	RL11_ECOLI	142
P0A7K2	RL7_ECOLI	121
P0A7K6	RL19_ECOLI	115
P0A7L0	RL1_ECOLI	234
P0A7L3	RL20_ECOLI	118
P0A7L8	RL27_ECOLI	85
P0A7M2	RL28_ECOLI	78
P0A7M6	RL29_ECOLI	63
P0A7M9	RL31_ECOLI	70
P0A7N4	RL32_ECOLI	57
P0A7N9	RL33_ECOLI	55
P0A7R1	RL9_ECOLI	149
P0A7R5	RS10_ECOLI	103
P0A7R9	RS11_ECOLI	129
P0A7S3	RS12_ECOLI	124
P0A7S9	RS13_ECOLI	118
P0A7T3	RS16_ECOLI	82
P0A7T7	RS18_ECOLI	75
P0A7U3	RS19_ECOLI	92
P0A7U7	RS20_ECOLI	87
P0A7V0	RS2_ECOLI	241
P0A7V3	RS3_ECOLI	233
P0A7V8	RS4_ECOLI	206
P0A7W1	RS5_ECOLI	167
P0A7W7	RS8_ECOLI	130
P0A7X3	RS9_ECOLI	130
P0A7X6	RIMM_ECOLI	182
P0A7Y0	RNC_ECOLI	226
P0A7Y4	RNH_ECOLI	155
P0A7Z0	RPIA_ECOLI	219
P0A7Z4	RPOA_ECOLI	329
P0A800	RPOZ_ECOLI	91
P0A809	RUVA_ECOLI	203
P0A812	RUVB_ECOLI	336
P0A814	RUVC_ECOLI	173
P0A817	METK_ECOLI	384
P0A821	SELA_ECOLI	463
P0A825	GLYA_ECOLI	417
P0A830	DCTA_ECOLI	428
P0A832	SSRP_ECOLI	160
P0A836	SUCC_ECOLI	388
P0A840	SURE_ECOLI	253
P0A847	TGT_ECOLI	375
P0A850	TIG_ECOLI	432
P0A853	TNAA_ECOLI	471
P0A855	TOLB_ECOLI	430
P0A858	TPIS_ECOLI	255
P0A862	TPX_ECOLI	168
P0A870	TALB_ECOLI	317
P0A873	TRMD_ECOLI	255
P0A877	TRPA_ECOLI	268
P0A879	TRPB_ECOLI	397
P0A884	TYSY_ECOLI	264
P0A887	UBIE_ECOLI	251
P0A890	TUSA_ECOLI	81
P0A894	RAPZ_ECOLI	284
P0A898	YBEY_ECOLI	155
P0A8D6	YMDB_ECOLI	177
P0A8F0	UPP_ECOLI	208
P0A8F8	UVRB_ECOLI	673
P0A8G0	UVRC_ECOLI	610
P0A8G6	NQOR_ECOLI	198
P0A8G9	EX7S_ECOLI	80
P0A8H3	ZUPT_ECOLI	257
P0A8H6	YIHI_ECOLI	169
P0A8I1	YQGF_ECOLI	138
P0A8I5	TRMB_ECOLI	239
P0A8I8	RLMH_ECOLI	155
P0A8J2	DNAT_ECOLI	179
P0A8J8	RHLB_ECOLI	421
P0A8K1	PSD_ECOLI	322
P0A8L1	SYS_ECOLI	430
P0A8M0	SYN_ECOLI	466
P0A8M3	SYT_ECOLI	642
P0A8N0	MATP_ECOLI	150
P0A8N3	SYK1_ECOLI	505
P0A8N5	SYK2_ECOLI	505
P0A8N7	EPMA_ECOLI	325
P0A8P6	XERC_ECOLI	298
P0A8P8	XERD_ECOLI	298
P0A8Q0	FRDC_ECOLI	131
P0A8Q3	FRDD_ECOLI	119
P0A8R0	RRAA_ECOLI	161
P0A8S1	ARGP_ECOLI	297
P0A8S9	FLHD_ECOLI	116
P0A8T7	RPOC_ECOLI	1407
P0A8V0	RBN_ECOLI	305
P0A8V2	RPOB_ECOLI	1342
P0A8V6	FADR_ECOLI	239
P0A8W0	NANR_ECOLI	263
P0A8X0	DARP_ECOLI	183
P0A8Y1	YJJG_ECOLI	225
P0A8Y3	YIHX_ECOLI	199
P0A8Y5	YIDA_ECOLI	270
P0A8Y8	ENTH_ECOLI	137
P0A903	BAMC_ECOLI	344
P0A910	OMPA_ECOLI	346
P0A912	PAL_ECOLI	173
P0A921	PA1_ECOLI	289
P0A924	PGPB_ECOLI	254
P0A935	MLTA_ECOLI	365
P0A937	BAME_ECOLI	113
P0A940	BAMA_ECOLI	810
P0A944	RIMI_ECOLI	148
P0A948	RIMJ_ECOLI	194
P0A951	ATDA_ECOLI	186
P0A953	FABB_ECOLI	406
P0A955	ALKH_ECOLI	213
P0A959	ALAA_ECOLI	405
P0A962	ASPG1_ECOLI	338
P0A964	CHEW_ECOLI	167
P0A968	CSPD_ECOLI	74
P0A972	CSPE_ECOLI	69
P0A988	DPO3B_ECOLI	366
P0A991	ALF1_ECOLI	350
P0A993	F16PA_ECOLI	332
P0A998	FTNA_ECOLI	165
P0A9A6	FTSZ_ECOLI	383
P0A9A9	FUR_ECOLI	148
P0A9B2	G3P1_ECOLI	331
P0A9B6	E4PD_ECOLI	339
P0A9C0	GLPA_ECOLI	542
P0A9C5	GLN1B_ECOLI	469
P0A9C9	GLPX_ECOLI	336
P0A9D2	GSTA_ECOLI	201
P0A9D8	DAPD_ECOLI	274
P0A9E0	ARAC_ECOLI	292
P0A9E5	FNR_ECOLI	250
P0A9G4	CUER_ECOLI	135
P0A9G6	ACEA_ECOLI	434
P0A9G8	MODE_ECOLI	262
P0A9H3	LDCI_ECOLI	715
P0A9H7	CFA_ECOLI	382
P0A9H9	CHEZ_ECOLI	214
P0A9J0	RNG_ECOLI	489
P0A9J4	PANE_ECOLI	303
P0A9J6	RBSK_ECOLI	309
P0A9J8	CMPDT_ECOLI	386
P0A9K7	PHOU_ECOLI	241
P0A9K9	SLYD_ECOLI	196
P0A9L3	FKBB_ECOLI	206
P0A9M0	LON_ECOLI	784
P0A9M2	HPRT_ECOLI	178
P0A9M5	XGPT_ECOLI	152
P0A9M8	PTA_ECOLI	714
P0A9N4	PFLA_ECOLI	246
P0A9N8	NRDG_ECOLI	154
P0A9P0	DLDH_ECOLI	474
P0A9P4	TRXB_ECOLI	321
P0A9P6	DEAD_ECOLI	629
P0A9Q1	ARCA_ECOLI	238
P0A9Q5	ACCD_ECOLI	304
P0A9Q7	ADHE_ECOLI	891
P0A9Q9	DHAS_ECOLI	367
P0A9R4	FER_ECOLI	111
P0A9R7	FTSE_ECOLI	222
P0A9S1	FUCO_ECOLI	382
P0A9S5	GLDA_ECOLI	367
P0A9S7	LIVG_ECOLI	255
P0A9T0	SERA_ECOLI	410
P0A9V1	LPTB_ECOLI	241
P0A9V8	SQUU_ECOLI	298
P0A9W3	ETTA_ECOLI	555
P0A9X4	MREB_ECOLI	347
P0A9X9	CSPA_ECOLI	70
P0A9Y6	CSPC_ECOLI	69
P0A9Z1	GLNB_ECOLI	112
P0AA04	PTHP_ECOLI	85
P0AA10	RL13_ECOLI	142
P0AA16	OMPR_ECOLI	239
P0AA25	THIO_ECOLI	109
P0AA37	RLUA_ECOLI	219
P0AA41	TRUC_ECOLI	260
P0AA43	RSUA_ECOLI	231
P0AA47	PLAP_ECOLI	452
P0AA76	DGOT_ECOLI	430
P0AA78	EXUT_ECOLI	432
P0AA84	CLSB_ECOLI	413
P0AA89	DOSC_ECOLI	460
P0AA93	YPDA_ECOLI	565
P0AAA9	ZRAP_ECOLI	141
P0AAB4	UBID_ECOLI	497
P0AAC6	YCCA_ECOLI	219
P0AAC8	ISCA_ECOLI	107
P0AAD6	SDAC_ECOLI	429
P0AAD8	TDCC_ECOLI	443
P0AAE0	CYCA_ECOLI	470
P0AAE8	CADB_ECOLI	444
P0AAF1	POTE_ECOLI	439
P0AAG0	DPPD_ECOLI	327
P0AAH0	PSTB_ECOLI	257
P0AAH4	SAPD_ECOLI	330
P0AAI3	FTSH_ECOLI	644
P0AAI5	FABF_ECOLI	413
P0AAJ3	FDNH_ECOLI	294
P0AAJ5	FDOH_ECOLI	300
P0AAM1	CYBH_ECOLI	235
P0AAM3	HYPC_ECOLI	90
P0AAM7	HYBG_ECOLI	82
P0AAN3	HYPB_ECOLI	290
P0AAR3	YBAK_ECOLI	159
P0AAT6	IOJAP_ECOLI	105
P0AAW9	ACRZ_ECOLI	49
P0AAX8	YBIS_ECOLI	306
P0AAZ4	RARA_ECOLI	447
P0AB38	LPOB_ECOLI	213
P0AB58	LAPB_ECOLI	389
P0AB71	ALF_ECOLI	359
P0AB74	KBAY_ECOLI	286
P0AB77	KBL_ECOLI	398
P0AB80	ILVE_ECOLI	309
P0AB83	END3_ECOLI	211
P0AB87	FUCA_ECOLI	215
P0AB89	PUR8_ECOLI	456
P0AB91	AROG_ECOLI	350
P0AB98	ATP6_ECOLI	271
P0ABA4	ATPD_ECOLI	177
P0ABA6	ATPG_ECOLI	287
P0ABB0	ATPA_ECOLI	513
P0ABB4	ATPB_ECOLI	460
P0ABB8	ATMA_ECOLI	898
P0ABC3	HFLC_ECOLI	334
P0ABC7	HFLK_ECOLI	419
P0ABD3	BFR_ECOLI	158
P0ABD5	ACCA_ECOLI	319
P0ABD8	BCCP_ECOLI	156
P0ABE5	C561_ECOLI	176
P0ABF1	PCNB_ECOLI	465
P0ABF6	CDD_ECOLI	294
P0ABG4	FTSW_ECOLI	414
P0ABG7	RODA_ECOLI	370
P0ABH0	FTSA_ECOLI	420
P0ABH7	CISY_ECOLI	427
P0ABH9	CLPA_ECOLI	758
P0ABI4	CORA_ECOLI	316
P0ABI8	CYOB_ECOLI	663
P0ABJ1	CYOA_ECOLI	315
P0ABJ3	CYOC_ECOLI	204
P0ABJ6	CYOD_ECOLI	109
P0ABJ9	CYDA_ECOLI	522
P0ABK2	CYDB_ECOLI	379
P0ABK5	CYSK_ECOLI	323
P0ABK7	CSGB_ECOLI	151
P0ABK9	NRFA_ECOLI	478
P0ABL3	NAPB_ECOLI	149
P0ABN1	KDGL_ECOLI	122
P0ABN5	DCUA_ECOLI	433
P0ABN9	DCUB_ECOLI	446
P0ABP3	DCUC_ECOLI	461
P0ABP8	DEOD_ECOLI	239
P0ABQ0	COABC_ECOLI	406
P0ABQ4	DYR_ECOLI	159
P0ABR9	MHPB_ECOLI	314
P0ABS1	DKSA_ECOLI	151
P0ABS5	DNAG_ECOLI	581
P0ABS8	HOLE_ECOLI	76
P0ABT2	DPS_ECOLI	167
P0ABU0	MENB_ECOLI	285
P0ABU2	YCHF_ECOLI	363
P0ABU7	EXBB_ECOLI	244
P0ABU9	TOLQ_ECOLI	230
P0ABV2	EXBD_ECOLI	141
P0ABV6	TOLR_ECOLI	142
P0ABZ1	FLIG_ECOLI	331
P0ABZ6	SURA_ECOLI	428
P0AC00	FRLB_ECOLI	340
P0AC02	BAMD_ECOLI	245
P0AC13	DHPS_ECOLI	282
P0AC16	FOLB_ECOLI	122
P0AC19	FOLX_ECOLI	120
P0AC23	FOCA_ECOLI	285
P0AC30	FTSX_ECOLI	352
P0AC33	FUMA_ECOLI	548
P0AC38	ASPA_ECOLI	478
P0AC41	SDHA_ECOLI	588
P0AC44	DHSD_ECOLI	115
P0AC47	FRDB_ECOLI	244
P0AC53	G6PD_ECOLI	491
P0AC55	GLNK_ECOLI	112
P0AC69	GLRX4_ECOLI	115
P0AC75	KDTA_ECOLI	425
P0AC78	WECA_ECOLI	367
P0AC81	LGUL_ECOLI	135
P0AC84	GLO2_ECOLI	251
P0AC88	GM4D_ECOLI	373
P0AC98	SATP_ECOLI	188
P0ACB0	DNAB_ECOLI	471
P0ACB2	HEM2_ECOLI	324
P0ACB4	HEMG_ECOLI	181
P0ACC1	PRMC_ECOLI	277
P0ACC3	ERPA_ECOLI	114
P0ACC7	GLMU_ECOLI	456
P0ACD4	ISCU_ECOLI	128
P0ACD8	MBHL_ECOLI	597
P0ACE0	MBHM_ECOLI	567
P0ACE3	HHA_ECOLI	72
P0ACE7	HINT_ECOLI	119
P0ACF0	DBHA_ECOLI	90
P0ACF4	DBHB_ECOLI	90
P0ACF8	HNS_ECOLI	137
P0ACG1	STPA_ECOLI	134
P0ACG8	HSLR_ECOLI	133
P0ACJ0	LRP_ECOLI	164
P0ACJ8	CRP_ECOLI	210
P0ACN4	ALLR_ECOLI	271
P0ACP7	PURR_ECOLI	341
P0ACQ4	OXYR_ECOLI	305
P0ACV0	LPXL_ECOLI	306
P0ACV6	MPAA_ECOLI	242
P0AD14	BTSS_ECOLI	561
P0AD49	YFIA_ECOLI	113
P0AD57	ISPB_ECOLI	323
P0AD59	IVY_ECOLI	157
P0AD61	KPYK1_ECOLI	470
P0AD65	MRDA_ECOLI	633
P0AD68	FTSI_ECOLI	588
P0AD70	AMPH_ECOLI	385
P0AD99	BRNQ_ECOLI	439
P0ADA1	TESA_ECOLI	208
P0ADC1	LPTE_ECOLI	193
P0ADE4	TAMA_ECOLI	577
P0ADG4	SUHB_ECOLI	267
P0ADG7	IMDH_ECOLI	488
P0ADI4	ENTB_ECOLI	285
P0ADL1	NEPI_ECOLI	396
P0ADP0	YIGB_ECOLI	238
P0ADP2	YIGI_ECOLI	155
P0ADR8	PPNN_ECOLI	454
P0ADS2	ZAPA_ECOLI	109
P0ADV1	LPTA_ECOLI	185
P0ADV9	LPTC_ECOLI	191
P0ADY1	PPID_ECOLI	623
P0ADY3	RL14_ECOLI	123
P0ADY7	RL16_ECOLI	136
P0ADZ0	RL23_ECOLI	100
P0ADZ4	RS15_ECOLI	89
P0AE01	TRMJ_ECOLI	246
P0AE06	ACRA_ECOLI	397
P0AE08	AHPC_ECOLI	187
P0AE12	AMN_ECOLI	484
P0AE18	MAP1_ECOLI	264
P0AE22	APHA_ECOLI	237
P0AE24	ARAE_ECOLI	472
P0AE52	BCP_ECOLI	156
P0AE67	CHEY_ECOLI	129
P0AE70	MAZF_ECOLI	111
P0AE72	MAZE_ECOLI	82
P0AE82	CPXA_ECOLI	457
P0AE85	CPXP_ECOLI	166
P0AE88	CPXR_ECOLI	232
P0AEA8	CYSG_ECOLI	457
P0AEB2	DACA_ECOLI	403
P0AEC3	ARCB_ECOLI	778
P0AEC5	BARA_ECOLI	918
P0AEC8	DCUS_ECOLI	543
P0AED7	DAPE_ECOLI	375
P0AEE3	DEGS_ECOLI	355
P0AEE5	MGLB_ECOLI	332
P0AEE8	DMA_ECOLI	278
P0AEF0	DNAC_ECOLI	245
P0AEF8	DPPB_ECOLI	339
P0AEG1	DPPC_ECOLI	300
P0AEG4	DSBA_ECOLI	208
P0AEG6	DSBC_ECOLI	236
P0AEH1	RSEP_ECOLI	450
P0AEI1	MIAB_ECOLI	474
P0AEJ0	EMRB_ECOLI	512
P0AEJ2	ENTC_ECOLI	391
P0AEJ4	ENVZ_ECOLI	450
P0AEJ6	EUTB_ECOLI	453
P0AEK2	FABG_ECOLI	244
P0AEK4	FABI_ECOLI	262
P0AEK7	FDNI_ECOLI	217
P0AEL0	FDOI_ECOLI	211
P0AEM0	FKBX_ECOLI	149
P0AEM6	FLIA_ECOLI	239
P0AEM9	TCYJ_ECOLI	266
P0AEN1	FRE_ECOLI	233
P0AEN4	FTSL_ECOLI	121
P0AEN8	FUCM_ECOLI	140
P0AEP3	GALU_ECOLI	302
P0AEP7	GCL_ECOLI	593
P0AEP9	GLCD_ECOLI	499
P0AER0	GLPF_ECOLI	281
P0AES0	GSP_ECOLI	619
P0AES2	GUDD_ECOLI	446
P0AES4	GYRA_ECOLI	875
P0AES6	GYRB_ECOLI	804
P0AES9	HDEA_ECOLI	110
P0AET2	HDEB_ECOLI	108
P0AET8	HDHA_ECOLI	255
P0AEU7	SKP_ECOLI	161
P0AEV1	RSSB_ECOLI	337
P0AEV9	HYCI_ECOLI	156
P0AEW6	INGK_ECOLI	434
P0AEW9	K1PF_ECOLI	312
P0AEX7	LIVH_ECOLI	308
P0AEX9	MALE_ECOLI	396
P0AEY3	MAZG_ECOLI	263
P0AEY5	MDAB_ECOLI	193
P0AEY8	MDFA_ECOLI	410
P0AEZ1	METF_ECOLI	296
P0AEZ3	MIND_ECOLI	270
P0AF06	MOTB_ECOLI	308
P0AF12	MTNN_ECOLI	232
P0AF16	MURJ_ECOLI	511
P0AF18	NAGA_ECOLI	382
P0AF24	NAGD_ECOLI	250
P0AF28	NARL_ECOLI	216
P0AF32	NARV_ECOLI	226
P0AF36	ZAPB_ECOLI	81
P0AF52	GHXP_ECOLI	449
P0AF61	GHOS_ECOLI	98
P0AF67	TSAE_ECOLI	153
P0AF90	RRAB_ECOLI	138
P0AF93	RIDA_ECOLI	128
P0AFA2	NARX_ECOLI	598
P0AFA7	NHAB_ECOLI	513
P0AFB1	NLPI_ECOLI	294
P0AFB5	NTRB_ECOLI	349
P0AFB8	NTRC_ECOLI	469
P0AFC0	NUDB_ECOLI	150
P0AFC3	NUOA_ECOLI	147
P0AFC7	NUOB_ECOLI	220
P0AFD1	NUOE_ECOLI	166
P0AFD4	NUOH_ECOLI	325
P0AFD6	NUOI_ECOLI	180
P0AFE0	NUOJ_ECOLI	184
P0AFE4	NUOK_ECOLI	100
P0AFE8	NUOM_ECOLI	509
P0AFF0	NUON_ECOLI	485
P0AFF2	NUPC_ECOLI	400
P0AFF4	NUPG_ECOLI	418
P0AFF6	NUSA_ECOLI	495
P0AFG3	ODO1_ECOLI	933
P0AFG6	ODO2_ECOLI	405
P0AFG8	ODP1_ECOLI	887
P0AFI0	OXC_ECOLI	564
P0AFI2	PARC_ECOLI	752
P0AFI5	PBP7_ECOLI	310
P0AFI7	PDXH_ECOLI	218
P0AFJ7	PITA_ECOLI	499
P0AFL3	PPIA_ECOLI	190
P0AFL6	PPX_ECOLI	513
P0AFM2	PROX_ECOLI	330
P0AFM6	PSPA_ECOLI	222
P0AFP6	GCH1L_ECOLI	247
P0AFQ5	RUTC_ECOLI	128
P0AFR2	DAUA_ECOLI	559
P0AFS3	FOLM_ECOLI	240
P0AFS9	MEPM_ECOLI	440
P0AFT2	TCYL_ECOLI	222
P0AFU4	GLRR_ECOLI	444
